Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2
1191,877,591,339,374,721,870
1160,906,516,427,374,722,870
1173,906,510,433,354,737,721
1197,906,500,417,380,734,721
1247,736,634,446,387,733,721
1385,653,717,446,387,624,721
1384,682,721,446,387,563,721
1384,635,768,446,387,563,689
1487,598,805,442,391,796,668
1512,528,875,441,384,796,675
1428,520,958,464,357,796,675
1468,517,950,486,346,796,673
1468,382,1056,515,345,796,707
1468,327,1104,522,311,772,669
1470,302,977,674,247,749,710
1456,317,977,674,230,740,709
1456,317,976,675,230,758,640
1456,317,964,687,230,660,433
1346,427,960,691,230,649,224
1341,432,889,762,224,649,222
1341,432,829,822,224,649,295
1341,432,818,832,225,649,208
1213,557,815,817,246,649,299
1191,571,823,805,258,556,291
1288,548,846,793,270,468,291
1338,538,856,793,229,468,291
941,876,915,783,239,468,291
941,869,922,783,239,468,291
1017,908,922,782,240,468,305
1114,959,922,591,431,468,326
929,1144,922,573,444,343,326
898,1191,877,591,339,339,327
879,1160,906,516,427,338,423
866,1173,906,510,433,323,423
842,1197,906,500,417,323,444
933,1247,736,634,446,325,444
803,1385,653,717,446,326,444
782,1384,682,721,446,326,444
782,1384,635,768,446,376,444
681,1487,598,805,442,334,444
656,1512,528,875,441,392,431
642,1428,520,958,464,456,484
591,1468,517,950,486,505,587
591,1468,382,1056,515,505,568
591,1468,327,1104,522,493,606
608,1470,302,977,674,507,548
624,1456,317,977,674,759,548
625,1456,317,976,675,772,623
629,1456,317,964,687,848,671
629,1346,427,960,691,848,695
629,1341,432,889,762,848,705
629,1341,432,829,822,848,634
629,1341,432,818,832,848,614
629,1213,557,815,817,848,523
629,1191,571,823,805,848,523
532,1288,548,846,793,847,523
