Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3
891,479,724,1170,1587,523,615,378,763,458,839
891,464,645,1189,1658,527,561,432,763,458,763
889,465,646,1178,1669,527,561,432,699,458,812
889,465,646,1131,1649,594,561,421,706,458,825
889,465,632,1145,1649,594,561,417,767,458,959
985,421,509,1312,1649,594,473,408,962,458,959
1082,421,509,1312,1647,596,473,343,951,443,959
1090,421,509,1312,1647,596,473,335,986,501,988
1090,385,545,1312,1647,596,473,303,1014,505,989
1042,345,633,1312,1637,606,473,283,1034,478,951
780,612,633,1312,1299,944,473,283,1040,500,770
716,722,633,1282,1296,977,473,275,1040,490,718
710,731,633,1247,1326,980,459,243,1066,490,717
533,908,633,1247,1326,900,539,208,1184,237,717
531,868,675,1247,1309,871,585,208,1170,239,717
839,873,675,1246,1269,841,639,219,1373,229,689
839,896,675,1079,1414,765,657,299,1402,229,689
863,905,675,1079,1372,805,654,304,1397,229,720
865,962,675,1079,1298,879,647,298,1380,229,722
749,1078,675,1079,1245,932,647,297,1336,245,634
715,1090,701,1079,1164,1012,646,299,1336,270,634
713,912,888,1079,1164,1012,564,366,1336,251,727
709,920,888,953,902,1400,525,404,1336,251,762
890,920,888,316,1349,1590,499,430,1336,251,762
1136,920,587,607,1303,1646,370,559,1316,251,762
1144,920,587,604,1305,1647,370,559,1275,255,799
1214,889,574,646,1209,1745,370,559,1275,279,730
1352,882,573,650,1194,1764,349,580,1248,279,526
1470,891,523,702,1191,1767,300,629,1180,279,525
1507,891,523,702,1155,1803,300,629,931,279,512
1507,891,482,740,1158,1603,500,626,882,283,511
1507,891,479,724,1170,1587,523,615,896,295,507
1507,891,464,645,1189,1658,527,561,896,295,523
1507,889,465,646,1178,1669,527,561,896,295,531
1659,889,465,646,1131,1649,594,561,1043,299,518
1758,889,465,632,1145,1649,594,561,1121,310,385
1805,985,421,509,1312,1649,594,473,947,336,406
1768,1082,421,509,1312,1647,596,473,977,369,423
1812,1090,421,509,1312,1647,596,473,942,311,394
1828,1090,385,545,1312,1647,596,473,927,306,519
2000,1042,345,633,1312,1637,606,473,907,293,627
2010,780,612,633,1312,1299,944,473,901,271,708
2055,716,722,633,1282,1296,977,473,990,270,804
2052,710,731,633,1247,1326,980,459,964,269,858
2060,533,908,633,1247,1326,900,539,846,268,1013
2065,531,868,675,1247,1309,871,585,799,266,1046
1789,839,873,675,1246,1269,841,639,555,266,1134
1767,839,896,675,1079,1414,765,657,526,266,1138
1734,863,905,675,1079,1372,805,654,518,266,1108
1675,865,962,675,1079,1298,879,647,515,266,1034
1675,749,1078,675,1079,1245,932,647,528,207,1034
1683,715,1090,701,1079,1164,1012,646,528,126,1035
1687,713,912,888,1079,1164,1012,564,528,124,944
1719,709,920,888,953,902,1400,525,544,124,909
1538,890,920,888,316,1349,1590,499,545,124,909
1292,1136,920,587,607,1303,1646,370,545,124,924
1286,1144,920,587,604,1305,1647,370,545,120,888
1218,1214,889,574,646,1209,1745,370,545,96,888
1080,1352,882,573,650,1194,1764,349,668,97,890
951,1470,891,523,702,1191,1767,300,670,97,891
914,1507,891,523,702,1155,1803,300,670,97,893
928,1507,891,482,740,1158,1603,500,658,93,893
928,1507,891,479,724,1170,1587,523,608,87,930
997,1507,891,464,645,1189,1658,527,690,95,915
997,1507,889,465,646,1178,1669,527,693,116,848
845,1659,889,465,646,1131,1649,594,562,167,850
746,1758,889,465,632,1145,1649,594,504,579,849
617,1805,985,421,509,1312,1649,594,511,589,832
557,1768,1082,421,509,1312,1647,596,478,564,820
511,1812,1090,421,509,1312,1647,596,491,698,821
497,1828,1090,385,545,1312,1647,596,478,708,722
325,2000,1042,345,633,1312,1637,606,497,784,754
310,2010,780,612,633,1312,1299,944,513,784,702
219,2055,716,722,633,1282,1296,977,424,788,612
219,2052,710,731,633,1247,1326,980,424,860,559
211,2060,533,908,633,1247,1326,900,425,1055,410
234,2065,531,868,675,1247,1309,871,573,1208,388
197,1789,839,873,675,1246,1269,841,693,1302,306
196,1767,839,896,675,1079,1414,765,778,1608,302
196,1734,863,905,675,1079,1372,805,936,1659,332
196,1675,865,962,675,1079,1298,879,937,1671,347
279,1675,749,1078,675,1079,1245,932,925,1669,377
267,1683,715,1090,701,1079,1164,1012,989,1690,480
256,1687,713,912,888,1079,1164,1012,1032,1719,495
328,1719,709,920,888,953,902,1400,1146,1737,577
328,1538,890,920,888,316,1349,1590,1162,1758,717
358,1292,1136,920,587,607,1303,1646,1162,1776,809
441,1286,1144,920,587,604,1305,1647,1289,1779,883
440,1218,1214,889,574,646,1209,1745,1352,1779,884
443,1080,1352,882,573,650,1194,1764,1460,1778,882
614,951,1470,891,523,702,1191,1767,1491,1783,883
626,914,1507,891,523,702,1155,1803,1493,1826,887
612,928,1507,891,482,740,1158,1603,1533,1841,889
613,928,1507,891,479,724,1170,1587,1533,1872,852
544,997,1507,891,464,645,1189,1658,1452,1883,851
624,997,1507,889,465,646,1178,1669,1449,2057,901
640,845,1659,889,465,646,1131,1649,1434,2057,1010
688,746,1758,889,465,632,1145,1649,1355,1690,1092
702,617,1805,985,421,509,1312,1649,1329,1871,1091
816,557,1768,1082,421,509,1312,1647,1329,1902,1086
821,511,1812,1090,421,509,1312,1647,1316,1787,1314
829,497,1828,1090,385,545,1312,1647,1316,1792,1335
906,325,2000,1042,345,633,1312,1637,1307,1719,1203
917,310,2010,780,612,633,1312,1299,1292,1719,1293
942,219,2055,716,722,633,1282,1296,1300,1715,1287
942,219,2052,710,731,633,1247,1326,1315,1654,1306
945,211,2060,533,908,633,1247,1326,1314,1464,1325
938,234,2065,531,868,675,1247,1309,1166,1311,1365
990,197,1789,839,873,675,1246,1269,1101,1217,1364
1012,196,1767,839,896,675,1079,1414,1016,911,1415
1013,196,1734,863,905,675,1079,1372,858,860,1384
1013,196,1675,865,962,675,1079,1298,857,852,1369
930,279,1675,749,1078,675,1079,1245,858,897,1359
987,267,1683,715,1090,701,1079,1164,828,948,1255
1003,256,1687,713,912,888,1079,1164,799,1015,1248
895,328,1719,709,920,888,953,902,678,1006,1166
960,328,1538,890,920,888,316,1349,661,985,1026
935,358,1292,1136,920,587,607,1303,661,967,919
861,441,1286,1144,920,587,604,1305,534,964,844
910,440,1218,1214,889,574,646,1209,471,973,868
943,443,1080,1352,882,573,650,1194,248,973,898
772,614,951,1470,891,523,702,1191,218,968,896
760,626,914,1507,891,523,702,1155,313,925,900
760,612,928,1507,891,482,740,1158,338,941,928
759,613,928,1507,891,479,724,1170,346,904,928
