Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2,Accum_y-3
749,549,1217,1155,600,573,538,705,485,776,999
778,549,1180,1187,605,573,516,727,485,835,1016
804,519,1209,1189,605,556,533,727,489,835,1042
982,535,1049,1349,605,556,533,711,489,914,1206
935,468,1079,1453,605,556,495,749,508,1079,1294
931,417,1040,1547,605,556,495,749,510,1071,1328
910,351,1127,1547,605,556,490,754,510,1087,1412
901,357,1119,1558,605,556,490,747,632,920,1412
816,441,1106,1538,639,556,490,747,672,917,1429
692,604,1050,1549,684,455,591,747,720,917,1499
689,607,1049,1473,761,455,552,786,713,846,1523
652,644,974,1367,942,381,626,786,765,704,1519
652,644,919,1388,771,396,816,786,780,463,1509
652,641,886,1416,740,432,819,786,837,513,1499
652,641,802,1408,806,458,819,776,838,715,1315
652,628,798,1425,788,476,800,743,743,786,1308
652,621,706,1467,845,476,800,704,592,812,1281
651,622,692,1437,797,568,800,663,571,863,1146
651,622,691,1438,671,694,631,832,551,892,1031
651,601,709,1438,628,740,608,855,548,1008,1008
632,620,709,1437,629,740,608,810,548,1018,870
625,627,709,1427,639,739,389,935,545,1018,920
628,562,774,1424,642,646,482,935,477,1022,955
782,517,845,1262,802,648,482,935,466,1055,992
820,556,845,1107,955,650,482,935,466,1231,992
824,556,840,1112,955,650,482,830,462,1254,1207
824,556,833,1119,955,650,482,811,534,1232,1211
804,570,815,1143,955,650,482,793,547,1251,1219
797,574,645,1316,955,556,576,790,571,1251,1224
790,708,634,1323,959,556,573,793,600,1256,1179
807,708,602,1214,1143,558,573,735,622,1327,1076
784,749,549,1217,1155,600,573,538,648,1358,976
816,778,549,1180,1187,605,573,516,654,1299,972
821,804,519,1209,1189,605,556,533,650,1306,954
645,982,535,1049,1349,605,556,533,650,1233,831
628,935,468,1079,1453,605,556,495,631,1068,740
688,931,417,1040,1547,605,556,495,629,1040,706
697,910,351,1127,1547,605,556,490,629,989,621
736,901,357,1119,1558,605,556,490,507,945,621
739,816,441,1106,1538,639,556,490,439,977,604
700,692,604,1050,1549,684,455,591,384,1094,534
700,689,607,1049,1473,761,455,552,388,1112,510
725,652,644,974,1367,942,381,626,340,1112,510
725,652,644,919,1388,771,396,816,326,1158,475
725,652,641,886,1416,740,432,819,258,1108,475
725,652,641,802,1408,806,458,819,257,917,475
731,652,628,798,1425,788,476,800,250,852,475
735,652,621,706,1467,845,476,800,247,888,475
735,651,622,692,1437,797,568,800,247,930,475
