Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3
793,229,319,689,561,842,327,1007,848,484,251,317
783,239,319,687,563,511,658,1007,848,369,251,317
783,239,319,677,573,398,759,1019,848,236,251,317
782,240,319,677,573,368,776,1032,848,217,251,317
591,431,307,689,573,368,673,1135,848,216,251,317
573,444,247,680,647,367,560,1249,848,216,290,317
591,339,374,667,665,317,610,1249,847,216,362,317
516,427,374,660,680,275,652,1249,847,187,396,317
510,433,354,680,675,280,652,1249,847,190,443,317
500,417,380,680,632,323,652,1139,957,129,447,317
634,446,387,680,572,383,631,1160,957,106,447,317
717,446,387,672,539,424,631,1093,1024,106,427,402
721,446,387,672,486,477,631,1093,1024,162,427,438
768,446,387,672,482,481,631,1093,1024,184,425,438
805,442,391,634,520,481,629,1092,1027,189,394,440
875,441,384,642,518,483,628,1044,1076,227,393,440
958,464,357,645,542,476,575,1087,1093,252,385,471
950,486,346,629,569,476,575,1087,1091,252,329,469
1056,515,345,606,593,465,586,1043,1134,252,329,422
1104,522,311,640,593,455,596,904,1273,252,415,409
977,674,247,704,593,438,613,470,1657,252,417,409
977,674,230,721,499,493,652,469,1456,263,453,409
976,675,230,595,607,338,825,469,1398,265,517,410
964,687,230,502,619,402,842,469,1334,318,526,282
960,691,230,386,666,471,842,469,1285,340,512,282
889,762,224,336,671,522,842,468,1286,342,529,282
829,822,224,314,668,547,842,468,1252,336,527,282
818,832,225,314,668,547,842,409,1297,336,523,285
815,817,246,278,699,552,842,409,1045,323,523,282
823,805,258,278,699,552,842,354,1055,302,436,282
846,793,270,278,689,561,843,326,1007,302,435,282
856,793,229,319,689,561,842,327,1007,302,435,282
915,783,239,319,687,563,511,658,1007,342,435,282
922,783,239,319,677,573,398,759,1019,383,435,282
922,782,240,319,677,573,368,776,1032,383,443,282
922,591,431,307,689,573,368,673,1135,406,472,282
922,573,444,247,680,647,367,560,1249,470,515,282
877,591,339,374,667,665,317,610,1249,476,446,282
906,516,427,374,660,680,275,652,1249,476,412,283
906,510,433,354,680,675,280,652,1249,460,514,284
906,500,417,380,680,632,323,652,1139,463,510,284
736,634,446,387,680,572,383,631,1160,455,510,284
653,717,446,387,672,539,424,631,1093,564,510,202
682,721,446,387,672,486,477,631,1093,568,510,287
635,768,446,387,672,482,481,631,1093,545,542,299
598,805,442,391,634,520,481,629,1092,551,563,326
528,875,441,384,642,518,483,628,1044,500,569,370
520,958,464,357,645,542,476,575,1087,475,569,518
517,950,486,346,629,569,476,575,1087,475,571,525
382,1056,515,345,606,593,465,586,1043,475,571,432
327,1104,522,311,640,593,455,596,904,545,523,403
302,977,674,247,704,593,438,613,470,568,538,402
317,977,674,230,721,499,493,652,469,559,503,402
317,976,675,230,595,607,338,825,469,565,502,401
317,964,687,230,502,619,402,842,469,607,694,401
427,960,691,230,386,666,471,842,469,590,892,405
432,889,762,224,336,671,522,842,468,584,877,413
432,829,822,224,314,668,547,842,468,584,877,413
432,818,832,225,314,668,547,842,409,584,984,410
557,815,817,246,278,699,552,842,409,584,984,452
571,823,805,258,278,699,552,842,354,677,992,464
548,846,793,270,278,689,561,843,326,766,992,500
538,856,793,229,319,689,561,842,327,766,992,500
876,915,783,239,319,687,563,511,658,726,992,506
869,922,783,239,319,677,573,398,759,685,992,574
908,922,782,240,319,677,573,368,776,685,984,821
959,922,591,431,307,689,573,368,673,662,955,1091
1144,922,573,444,247,680,647,367,560,723,873,1091
1191,877,591,339,374,667,665,317,610,721,870,1121
1160,906,516,427,374,660,680,275,652,722,870,1158
1173,906,510,433,354,680,675,280,652,737,721,1157
1197,906,500,417,380,680,632,323,652,734,721,1247
1247,736,634,446,387,680,572,383,631,733,721,1247
1385,653,717,446,387,672,539,424,631,624,721,1244
1384,682,721,446,387,672,486,477,631,563,721,1123
1384,635,768,446,387,672,482,481,631,563,689,1111
1487,598,805,442,391,634,520,481,629,796,668,1179
1512,528,875,441,384,642,518,483,628,796,675,1135
1428,520,958,464,357,645,542,476,575,796,675,956
1468,517,950,486,346,629,569,476,575,796,673,949
1468,382,1056,515,345,606,593,465,586,796,707,984
1468,327,1104,522,311,640,593,455,596,772,669,1005
1470,302,977,674,247,704,593,438,613,749,710,1022
1456,317,977,674,230,721,499,493,652,740,709,1046
1456,317,976,675,230,595,607,338,825,758,640,1046
1456,317,964,687,230,502,619,402,842,660,433,1046
1346,427,960,691,230,386,666,471,842,649,224,1131
1341,432,889,762,224,336,671,522,842,649,222,1123
1341,432,829,822,224,314,668,547,842,649,295,1161
1341,432,818,832,225,314,668,547,842,649,208,1161
1213,557,815,817,246,278,699,552,842,649,299,1120
1191,571,823,805,258,278,699,552,842,556,291,1108
1288,548,846,793,270,278,689,561,843,468,291,1240
1338,538,856,793,229,319,689,561,842,468,291,1240
941,876,915,783,239,319,687,563,511,468,291,1234
941,869,922,783,239,319,677,573,398,468,291,1230
1017,908,922,782,240,319,677,573,368,468,305,983
1114,959,922,591,431,307,689,573,368,468,326,713
