Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
318,312,1267,1197,1383,903,132,1207,775,959,1127,695,990,483,638,453
318,312,1267,1155,1425,903,128,1211,720,1014,1045,697,977,476,598,453
318,312,1267,1084,1448,951,107,1219,732,1015,947,758,969,476,715,453
151,479,1267,962,1409,1112,102,1224,732,1015,918,782,976,465,713,473
380,489,1223,992,1376,1159,102,1179,777,1015,892,776,977,455,753,471
352,530,1179,995,1399,1177,102,1076,880,1015,633,885,961,438,753,517
352,530,1179,987,1401,1183,83,976,999,1015,606,851,928,493,695,703
352,530,1179,984,1398,1123,136,972,1016,1015,529,927,927,338,713,671
338,544,1179,936,1374,1195,107,954,1042,1036,527,929,739,402,766,647
333,549,1087,834,1320,1443,66,831,1206,1036,527,929,490,471,839,640
333,440,1196,659,1495,1443,66,740,1294,1039,502,947,489,522,848,640
333,434,1202,625,1529,1443,66,706,1328,914,627,946,485,547,795,629
406,429,1207,565,1589,1419,90,621,1412,836,705,947,421,547,834,558
409,420,912,840,1618,1417,92,621,1412,738,803,924,416,552,828,403
509,420,871,881,1618,1417,92,604,1429,709,832,906,423,552,810,366
615,425,847,810,1713,1311,198,534,1499,697,757,993,422,561,842,366
592,476,751,899,1689,1261,279,510,1523,628,714,1105,422,561,852,365
624,447,771,907,1656,1204,370,510,1519,622,707,1122,485,563,852,363
624,446,772,906,1583,1278,370,475,1509,591,777,1128,485,573,854,381
680,446,767,903,1591,1250,398,475,1499,601,709,1196,565,573,843,381
690,446,767,901,1593,1235,413,475,1315,707,704,1279,580,573,811,418
690,446,767,901,1588,1220,433,475,1308,706,706,1278,580,647,789,418
690,446,716,952,1560,1237,444,475,1281,704,735,1278,628,665,715,496
680,456,659,1009,1472,1290,479,475,1146,801,731,1320,636,680,651,555
680,379,710,1035,1428,1175,638,475,1031,914,698,1292,695,675,742,561
826,360,729,1035,1304,1213,724,475,1008,930,704,1293,697,632,733,563
832,360,679,1028,1307,1267,724,469,870,1066,712,1213,758,572,594,563
856,374,668,963,1382,1230,762,419,920,1066,712,1198,782,539,607,563
855,375,590,974,1417,1122,902,384,955,1066,668,1242,776,486,619,565
873,375,256,1304,1369,1173,903,347,992,988,746,1194,885,482,629,592
873,375,255,1268,1313,1266,903,347,992,830,904,1186,851,520,592,592
893,318,312,1267,1197,1383,903,132,1207,775,959,1127,927,518,592,624
