Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1
684,433,1037,816,691,952,567,400,980,690
675,443,1006,847,691,952,567,190,1190,690
610,511,1001,850,693,952,567,190,1177,710
539,582,1001,850,693,952,492,265,809,710
537,584,982,864,698,873,567,254,824,708
420,700,865,980,700,873,495,326,824,705
409,710,705,1141,700,822,546,326,824,692
410,710,705,1136,705,822,488,384,824,648
485,696,719,1132,696,834,489,384,824,589
563,688,727,1132,696,791,532,384,824,525
572,686,719,1139,614,829,579,373,826,539
555,726,691,1158,614,796,621,373,792,543
527,754,510,1317,470,936,647,373,792,636
655,754,341,1478,469,944,648,373,792,636
719,754,260,1559,469,929,630,406,792,636
645,844,199,1617,481,867,368,730,792,636
598,807,284,1620,481,854,380,731,674,584
597,794,293,1625,481,823,411,731,580,533
493,934,286,1632,413,748,554,731,579,473
503,937,279,1633,415,618,688,731,554,413
525,921,295,1622,414,613,705,731,494,396
525,921,295,1600,221,720,813,731,494,402
525,920,219,1671,226,696,838,731,494,462
507,938,219,1671,226,636,898,715,510,433
506,916,220,1691,200,663,899,702,523,419
504,890,248,1641,246,667,899,664,561,381
565,797,301,1668,259,667,899,660,354,395
595,793,302,1615,312,636,933,645,323,511
651,706,389,1602,291,657,946,635,332,555
673,728,389,1451,420,677,948,575,392,774
710,706,411,1158,695,691,952,567,400,787
780,684,433,1037,816,691,952,567,400,787
781,675,443,1006,847,691,952,567,190,787
778,610,511,1001,850,693,952,567,190,767
781,539,582,1001,850,693,952,492,265,762
781,537,584,982,864,698,873,567,254,784
782,420,700,865,980,700,873,495,326,789
782,409,710,705,1141,700,822,546,326,773
860,410,710,705,1136,705,822,488,384,773
785,485,696,719,1132,696,834,489,384,773
707,563,688,727,1132,696,791,532,384,757
698,572,686,719,1139,614,829,579,373,731
675,555,726,691,1158,614,796,621,373,712
675,527,754,510,1317,470,936,647,373,619
561,655,754,341,1478,469,944,648,373,619
497,719,754,260,1559,469,929,630,406,619
472,645,844,199,1617,481,867,368,730,685
468,598,807,284,1620,481,854,380,731,685
518,597,794,293,1625,481,823,411,731,678
482,493,934,286,1632,413,748,554,731,661
506,503,937,279,1633,415,618,688,731,663
542,525,921,295,1622,414,613,705,731,668
546,525,921,295,1600,221,720,813,731,693
551,525,920,219,1671,226,696,838,731,626
551,507,938,219,1671,226,636,898,715,626
551,506,916,220,1691,200,663,899,702,675
554,504,890,248,1641,246,667,899,664,681
579,565,797,301,1668,259,667,899,660,673
550,595,793,302,1615,312,636,933,645,595
494,651,706,389,1602,291,657,946,635,551
450,673,728,389,1451,420,677,948,575,332
438,710,706,411,1158,695,691,952,567,319
389,780,684,433,1037,816,691,952,567,327
409,781,675,443,1006,847,691,952,567,368
473,778,610,511,1001,850,693,952,567,369
470,781,539,582,1001,850,693,952,492,367
591,781,537,584,982,864,698,873,567,343
594,782,420,700,865,980,700,873,495,311
594,782,409,710,705,1141,700,822,546,286
523,860,410,710,705,1136,705,822,488,260
557,785,485,696,719,1132,696,834,489,260
590,707,563,688,727,1132,696,791,532,260
591,698,572,686,719,1139,614,829,579,259
607,675,555,726,691,1158,614,796,621,293
624,675,527,754,510,1317,470,936,647,293
756,561,655,754,341,1478,469,944,648,316
756,497,719,754,260,1559,469,929,630,316
756,472,645,844,199,1617,481,867,368,250
756,468,598,807,284,1620,481,854,380,285
769,518,597,794,293,1625,481,823,411,396
809,482,493,934,286,1632,413,748,554,443
997,506,503,937,279,1633,415,618,688,487
940,542,525,921,295,1622,414,613,705,488
936,546,525,921,295,1600,221,720,813,517
931,551,525,920,219,1671,226,696,838,540
938,551,507,938,219,1671,226,636,898,540
947,551,506,916,220,1691,200,663,899,491
944,554,504,890,248,1641,246,667,899,485
858,579,565,797,301,1668,259,667,899,492
857,550,595,793,302,1615,312,636,933,822
857,494,651,706,389,1602,291,657,946,822
857,450,673,728,389,1451,420,677,948,822
832,438,710,706,411,1158,695,691,952,822
811,389,780,684,433,1037,816,691,952,814
789,409,781,675,443,1006,847,691,952,773
725,473,778,610,511,1001,850,693,952,770
725,470,781,539,582,1001,850,693,952,779
607,591,781,537,584,982,864,698,873,813
603,594,782,420,700,865,980,700,873,812
609,594,782,409,710,705,1141,700,822,812
610,523,860,410,710,705,1136,705,822,812
618,557,785,485,696,719,1132,696,834,812
585,590,707,563,688,727,1132,696,791,930
584,591,698,572,686,719,1139,614,829,1024
568,607,675,555,726,691,1158,614,796,991
551,624,675,527,754,510,1317,470,936,1016
405,756,561,655,754,341,1478,469,944,1053
486,756,497,719,754,260,1559,469,929,1053
717,756,472,645,844,199,1617,481,867,1053
717,756,468,598,807,284,1620,481,854,1018
896,769,518,597,794,293,1625,481,823,907
883,809,482,493,934,286,1632,413,748,858
667,997,506,503,937,279,1633,415,618,1022
887,940,542,525,921,295,1622,414,613,1062
920,936,546,525,921,295,1600,221,720,1003
1176,931,551,525,920,219,1671,226,696,980
1208,938,551,507,938,219,1671,226,636,980
1211,947,551,506,916,220,1691,200,663,980
1219,944,554,504,890,248,1641,246,667,1190
1328,858,579,565,797,301,1668,259,667,1177
1364,857,550,595,793,302,1615,312,636,809
