Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
905,1112,464,564,616,1137,936,1187,689,874,568,416,1069
1257,1029,542,569,616,1147,944,1353,689,874,494,310,979
1400,1060,544,571,616,1147,929,1417,689,876,493,320,915
1421,1025,663,571,529,1133,867,1445,689,884,500,377,915
1411,742,956,571,530,1138,854,1765,689,744,414,387,915
1412,731,967,571,530,941,823,1795,689,816,457,452,915
1413,492,1206,547,495,1098,748,1853,689,816,457,580,915
1416,492,1196,557,519,952,618,2031,689,831,457,637,900
1465,492,1155,598,444,1081,613,2130,689,398,469,637,848
1651,492,1138,605,275,1073,720,2088,689,402,468,637,848
1702,493,1075,600,228,1128,696,2086,689,403,296,624,845
1720,474,1055,555,227,1134,636,2089,718,502,280,617,820
1666,502,1043,593,225,1205,663,2089,822,569,243,617,400
1716,515,1043,577,247,1292,667,2008,1028,637,241,622,364
1739,515,1024,594,356,1391,667,2008,849,671,239,681,384
1857,515,1024,594,502,1271,636,2038,779,706,251,681,383
1886,515,1022,596,505,1161,657,2069,899,706,251,716,311
2073,514,989,622,505,1055,677,2017,844,713,251,790,319
2089,319,1126,466,504,1050,691,1971,750,967,251,790,328
2072,337,1123,469,527,1195,691,1965,735,1073,251,790,294
2111,340,1123,467,527,1247,691,1966,717,1124,251,803,231
2138,340,1123,373,520,1252,693,1940,693,1124,266,815,186
2154,370,1123,359,515,1231,693,1956,611,1115,336,885,219
2127,496,1123,356,515,1226,698,1986,615,1095,369,889,219
2080,550,1123,356,515,1235,700,1955,615,1051,404,892,219
2049,581,1123,334,480,1142,700,1939,615,1176,385,931,219
2049,581,1123,334,480,1159,705,1940,630,1176,398,958,219
2034,596,1094,363,479,1172,696,1940,673,1194,411,963,219
1984,703,1086,371,465,1242,696,1939,675,1170,411,963,181
1742,950,1033,424,535,1354,614,1883,675,1170,411,1002,183
1731,871,1144,427,494,1467,614,1661,675,1180,411,908,176
1697,905,1112,464,512,1467,470,1347,675,1188,411,825,175
1406,1257,1029,542,551,1550,469,1181,675,1291,409,785,175
1228,1400,1060,544,611,1616,469,1182,675,1291,411,788,175
1123,1421,1025,663,631,1650,481,1139,694,1283,425,731,176
1132,1411,742,956,631,1643,481,765,743,1264,380,721,176
1141,1412,731,967,713,1642,481,683,847,1259,337,656,176
1144,1413,492,1206,796,1483,413,624,877,1266,337,528,176
1209,1416,492,1196,788,1503,415,415,878,1254,337,471,191
1188,1465,492,1155,801,1409,414,316,977,1246,295,471,197
1005,1651,492,1138,812,1355,221,296,982,1303,296,492,201
953,1702,493,1075,856,1303,226,274,982,1349,238,553,243
935,1720,474,1055,898,1297,226,293,953,1252,238,587,243
935,1666,502,1043,898,1228,200,293,849,1170,238,631,243
872,1716,515,1043,844,1244,246,291,645,1102,247,651,299
849,1739,515,1024,715,1164,259,291,644,1068,247,622,406
731,1857,515,1024,562,1110,312,281,641,1033,235,681,456
702,1886,515,1022,559,1242,291,255,571,1033,235,648,649
515,2073,514,989,559,1276,420,279,686,1026,235,576,689
504,2089,319,1126,559,1290,695,330,714,772,235,576,750
504,2072,337,1123,536,1181,816,343,642,719,235,603,886
469,2111,340,1123,536,1251,847,355,644,668,235,609,916
479,2138,340,1123,535,1263,850,311,644,668,220,597,887
437,2154,370,1123,535,1249,850,295,639,668,150,530,926
338,2127,496,1123,535,1247,864,265,753,723,117,526,989
331,2080,550,1123,535,1271,980,290,806,729,86,529,995
331,2049,581,1123,537,1272,1141,382,833,613,86,491,1215
387,2049,581,1123,537,1240,1136,384,915,657,191,471,1646
412,2034,596,1094,552,1227,1132,384,990,549,249,466,1738
511,1984,703,1086,564,1157,1132,385,988,561,331,466,1845
509,1742,950,1033,493,1046,1139,385,990,665,530,356,1900
524,1731,871,1144,496,903,1158,390,1051,655,561,356,1975
530,1697,905,1112,547,962,1317,393,1148,647,561,357,1975
572,1406,1257,1029,508,918,1478,482,1192,544,561,366,1988
619,1228,1400,1060,496,884,1559,516,1200,542,559,546,1993
624,1123,1421,1025,609,854,1617,523,1182,542,537,618,2009
758,1132,1411,742,763,869,1620,523,1162,548,537,710,2080
841,1141,1412,731,681,869,1625,513,1058,517,542,753,2144
875,1144,1413,492,598,870,1632,512,1041,512,547,801,2322
1048,1209,1416,492,582,946,1633,512,1049,509,547,809,2307
