Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
440,971,860,630,154,330,355,770,1010,850,518,825,1877,800,758,871,1390
401,1021,857,633,144,297,378,708,1092,849,385,959,1921,800,713,847,1390
402,1004,859,648,144,297,378,705,1091,832,406,959,1922,800,713,751,1376
656,1004,854,611,186,297,378,705,1086,820,423,959,1922,631,713,771,1320
642,997,812,674,186,297,378,476,1314,821,394,988,1882,608,707,772,1239
651,977,833,674,186,297,378,428,1335,722,519,989,1565,608,1057,767,1234
633,980,811,711,186,297,370,428,1203,754,627,951,1565,389,1283,767,1138
633,980,811,698,179,317,370,309,1293,702,708,770,1453,482,1283,767,1020
633,854,937,690,187,297,388,311,1287,612,804,718,1379,482,1275,716,1022
676,725,1032,726,187,292,375,309,1306,559,858,717,1376,482,1274,659,1020
734,710,1032,741,187,292,312,347,1325,410,1013,717,1261,482,1268,710,867
753,705,989,760,218,287,297,316,1365,388,1046,717,1249,482,1268,729,878
753,700,946,754,255,295,296,321,1364,306,1134,689,1249,482,1227,679,860
723,728,729,864,364,295,215,351,1415,302,1138,689,1249,576,1209,668,842
723,714,735,811,425,283,219,359,1384,332,1108,720,1249,573,1209,590,772
723,712,451,1097,425,283,219,359,1369,347,1034,722,1247,573,1096,256,771
698,718,458,1101,433,283,219,339,1359,377,1034,634,1206,573,1100,255,771
663,753,457,1102,433,283,219,339,1255,480,1035,634,1386,573,1081,312,527
599,805,467,1104,428,288,211,337,1248,495,944,727,1387,556,1079,312,434
458,861,552,1104,402,314,211,337,1166,577,909,762,1212,556,1079,312,358
458,822,590,1105,402,314,211,337,1026,717,909,762,858,556,1079,479,358
458,822,590,1105,402,314,211,337,919,809,924,762,839,556,1079,489,184
458,822,531,1164,402,314,181,367,844,883,888,799,763,556,1079,530,118
458,817,536,1164,364,352,181,342,868,884,888,730,812,556,1155,530,174
458,817,536,1164,356,360,102,391,898,882,890,526,825,556,1253,530,193
458,817,536,1055,435,390,94,399,896,883,891,525,959,455,1302,544,381
458,811,542,1055,435,360,124,388,900,887,893,512,959,455,1264,549,630
443,770,598,1055,435,330,154,358,928,889,893,511,959,381,1190,440,609
501,639,729,1002,488,287,197,358,928,852,930,507,988,396,1257,434,613
505,540,829,1002,488,225,259,358,928,851,915,523,989,432,1091,429,677
478,579,832,962,528,154,330,358,878,901,848,531,951,458,1033,420,682
500,440,971,860,630,154,330,355,770,1010,850,518,770,476,1065,420,682
490,401,1021,857,633,144,297,378,708,1092,849,385,718,476,1065,425,683
490,402,1004,859,648,144,297,378,705,1091,832,406,717,568,1065,476,683
237,656,1004,854,611,186,297,378,705,1086,820,423,717,694,1065,447,683
239,642,997,812,674,186,297,378,476,1314,821,394,717,740,1052,446,683
229,651,977,833,674,186,297,378,428,1335,722,519,689,740,649,446,683
229,633,980,811,711,186,297,370,428,1203,754,627,689,739,420,446,683
229,633,980,811,698,179,317,370,309,1293,702,708,720,646,428,446,683
229,633,854,937,690,187,297,388,311,1287,612,804,722,648,491,446,680
245,676,725,1032,726,187,292,375,309,1306,559,858,634,650,491,456,680
270,734,710,1032,741,187,292,312,347,1325,410,1013,634,650,491,379,655
251,753,705,989,760,218,287,297,316,1365,388,1046,727,650,491,360,715
251,753,700,946,754,255,295,296,321,1364,306,1134,762,650,491,360,747
251,723,728,729,864,364,295,215,351,1415,302,1138,762,556,510,374,752
251,723,714,735,811,425,283,219,359,1384,332,1108,762,556,510,375,784
255,723,712,451,1097,425,283,219,359,1369,347,1034,799,558,511,375,934
279,698,718,458,1101,433,283,219,339,1359,377,1034,730,600,515,375,995
279,663,753,457,1102,433,283,219,339,1255,480,1035,526,605,515,318,990
279,599,805,467,1104,428,288,211,337,1248,495,944,525,605,515,318,977
279,458,861,552,1104,402,314,211,337,1166,577,909,512,605,679,318,969
283,458,822,590,1105,402,314,211,337,1026,717,909,511,605,682,151,976
295,458,822,590,1105,402,314,211,337,919,809,924,507,605,702,380,977
295,458,822,531,1164,402,314,181,367,844,883,888,523,605,760,352,961
295,458,817,536,1164,364,352,181,342,868,884,888,531,605,734,352,928
299,458,817,536,1164,356,360,102,391,898,882,890,518,639,689,352,927
310,458,817,536,1055,435,390,94,399,896,883,891,385,684,637,338,739
336,458,811,542,1055,435,360,124,388,900,887,893,406,761,611,333,490
369,443,770,598,1055,435,330,154,358,928,889,893,423,942,609,333,489
311,501,639,729,1002,488,287,197,358,928,852,930,394,771,542,333,485
306,505,540,829,1002,488,225,259,358,928,851,915,519,740,505,406,421
293,478,579,832,962,528,154,330,358,878,901,848,627,806,506,409,416
271,500,440,971,860,630,154,330,355,770,1010,850,708,788,457,509,423
270,490,401,1021,857,633,144,297,378,708,1092,849,804,845,569,615,422
269,490,402,1004,859,648,144,297,378,705,1091,832,858,797,618,592,422
268,237,656,1004,854,611,186,297,378,705,1086,820,1013,671,668,624,485
266,239,642,997,812,674,186,297,378,476,1314,821,1046,628,674,624,485
266,229,651,977,833,674,186,297,378,428,1335,722,1134,629,674,680,565
266,229,633,980,811,711,186,297,370,428,1203,754,1138,639,674,690,580
266,229,633,980,811,698,179,317,370,309,1293,702,1108,642,670,690,580
266,229,633,854,937,690,187,297,388,311,1287,612,1034,802,634,690,628
207,245,676,725,1032,726,187,292,375,309,1306,559,1034,955,634,680,636
126,270,734,710,1032,741,187,292,312,347,1325,410,1035,955,640,680,695
124,251,753,705,989,760,218,287,297,316,1365,388,944,955,642,826,697
124,251,753,700,946,754,255,295,296,321,1364,306,909,955,648,832,758
124,251,723,728,729,864,364,295,215,351,1415,302,909,955,657,856,782
124,251,723,714,735,811,425,283,219,359,1384,332,924,959,720,855,776
120,255,723,712,451,1097,425,283,219,359,1369,347,888,1143,729,873,885
96,279,698,718,458,1101,433,283,219,339,1359,377,888,1155,737,873,851
97,279,663,753,457,1102,433,283,219,339,1255,480,890,1187,737,893,927
97,279,599,805,467,1104,428,288,211,337,1248,495,891,1189,737,937,929
97,279,458,861,552,1104,402,314,211,337,1166,577,893,1349,573,946,929
93,283,458,822,590,1105,402,314,211,337,1026,717,893,1453,570,946,947
87,295,458,822,590,1105,402,314,211,337,919,809,930,1547,550,716,946
95,295,458,822,531,1164,402,314,181,367,844,883,915,1547,527,707,947
116,295,458,817,536,1164,364,352,181,342,868,884,848,1558,553,826,924
167,299,458,817,536,1164,356,360,102,391,898,882,850,1538,508,1158,906
579,310,458,817,536,1055,435,390,94,399,896,883,849,1549,561,1221,993
589,336,458,811,542,1055,435,360,124,388,900,887,832,1473,654,1252,1105
