Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3
1027,338,722,476,187,605,679,392,564
1076,323,737,460,190,609,679,396,569
1093,323,734,463,129,526,681,398,571
1091,325,733,455,106,558,689,471,571
1134,326,624,564,106,558,689,493,571
1273,326,563,568,162,555,689,493,571
1657,376,563,545,184,555,689,493,547
1456,334,796,551,189,555,689,532,557
1398,392,796,500,227,568,689,506,598
1334,456,796,475,252,568,636,467,605
1285,505,796,475,252,567,533,441,600
1286,505,796,475,252,567,525,417,555
1252,493,772,545,252,565,506,322,593
1297,507,749,568,252,548,506,322,577
1045,759,740,559,263,553,506,322,594
1055,772,758,565,265,543,454,322,594
1007,848,660,607,318,544,406,322,596
1007,848,649,590,340,550,382,322,622
1007,848,649,584,342,554,499,322,466
1019,848,649,584,336,560,497,322,469
1032,848,649,584,336,560,567,322,467
1135,848,649,584,323,573,654,322,373
1249,848,556,677,302,594,682,322,359
1249,847,468,766,302,529,682,322,356
1249,847,468,766,302,484,863,315,356
1249,847,468,726,342,369,900,494,334
1139,957,468,685,383,236,995,623,334
1160,957,468,685,383,217,927,623,363
1093,1024,468,662,406,216,1010,608,371
1093,1024,343,723,470,216,982,448,424
1093,1024,339,721,476,216,982,448,427
1092,1027,338,722,476,187,983,448,464
1044,1076,323,737,460,190,1022,444,542
1087,1093,323,734,463,129,1097,442,544
1087,1091,325,733,455,106,1112,369,663
1043,1134,326,624,564,106,1124,347,956
904,1273,326,563,568,162,1221,356,967
470,1657,376,563,545,184,1249,506,1206
469,1456,334,796,551,189,1278,473,1196
469,1398,392,796,500,227,1278,473,1155
469,1334,456,796,475,252,1278,473,1138
469,1285,505,796,475,252,1278,473,1075
468,1286,505,796,475,252,1271,473,1055
468,1252,493,772,545,252,1252,473,1043
409,1297,507,749,568,252,1252,473,1043
409,1045,759,740,559,263,1252,482,1024
354,1055,772,758,565,265,1229,629,1024
326,1007,848,660,607,318,1229,629,1022
327,1007,848,649,590,340,1229,629,989
658,1007,848,649,584,342,1233,658,1126
759,1019,848,649,584,336,1239,658,1123
776,1032,848,649,584,336,1167,658,1123
673,1135,848,649,584,323,1081,658,1123
560,1249,848,556,677,302,1053,658,1123
610,1249,847,468,766,302,1056,658,1123
652,1249,847,468,766,302,875,658,1123
652,1249,847,468,726,342,836,479,1123
652,1139,957,468,685,383,641,350,1123
631,1160,957,468,685,383,641,350,1094
631,1093,1024,468,662,406,539,350,1086
631,1093,1024,343,723,470,518,350,1033
631,1093,1024,339,721,476,537,382,1144
629,1092,1027,338,722,476,654,388,1112
628,1044,1076,323,737,460,620,388,1029
575,1087,1093,323,734,463,562,388,1060
575,1087,1091,325,733,455,539,388,1025
586,1043,1134,326,624,564,549,390,742
596,904,1273,326,563,568,453,400,731
613,470,1657,376,563,545,427,250,492
652,469,1456,334,796,551,456,244,492
825,469,1398,392,796,500,456,285,492
842,469,1334,456,796,475,456,369,492
842,469,1285,505,796,475,456,399,493
842,468,1286,505,796,475,456,399,474
842,468,1252,493,772,545,509,410,502
842,409,1297,507,749,568,512,481,515
842,409,1045,759,740,559,518,627,515
842,354,1055,772,758,565,537,517,515
843,326,1007,848,660,607,551,517,515
842,327,1007,848,649,590,551,518,514
511,658,1007,848,649,584,420,491,319
398,759,1019,848,649,584,414,491,337
368,776,1032,848,649,584,425,491,340
368,673,1135,848,649,584,456,491,340
367,560,1249,848,556,677,478,491,370
317,610,1249,847,468,766,552,491,496
275,652,1249,847,468,766,624,491,550
280,652,1249,847,468,726,645,491,581
323,652,1139,957,468,685,618,491,581
383,631,1160,957,468,685,757,491,596
424,631,1093,1024,468,662,746,491,703
477,631,1093,1024,343,723,743,491,950
481,631,1093,1024,339,721,724,459,871
481,629,1092,1027,338,722,643,453,905
483,628,1044,1076,323,737,638,453,1257
476,575,1087,1093,323,734,598,453,1400
476,575,1087,1091,325,733,715,453,1421
465,586,1043,1134,326,624,713,473,1411
455,596,904,1273,326,563,753,471,1412
438,613,470,1657,376,563,753,517,1413
493,652,469,1456,334,796,695,703,1416
338,825,469,1398,392,796,713,671,1465
402,842,469,1334,456,796,766,647,1651
471,842,469,1285,505,796,839,640,1702
522,842,468,1286,505,796,848,640,1720
547,842,468,1252,493,772,795,629,1666
547,842,409,1297,507,749,834,558,1716
552,842,409,1045,759,740,828,403,1739
552,842,354,1055,772,758,810,366,1857
561,843,326,1007,848,660,842,366,1886
561,842,327,1007,848,649,852,365,2073
563,511,658,1007,848,649,852,363,2089
573,398,759,1019,848,649,854,381,2072
573,368,776,1032,848,649,843,381,2111
573,368,673,1135,848,649,811,418,2138
647,367,560,1249,848,556,789,418,2154
665,317,610,1249,847,468,715,496,2127
680,275,652,1249,847,468,651,555,2080
675,280,652,1249,847,468,742,561,2049
632,323,652,1139,957,468,733,563,2049
572,383,631,1160,957,468,594,563,2034
539,424,631,1093,1024,468,607,563,1984
486,477,631,1093,1024,343,619,565,1742
482,481,631,1093,1024,339,629,592,1731
520,481,629,1092,1027,338,592,592,1697
518,483,628,1044,1076,323,592,624,1406
542,476,575,1087,1093,323,616,673,1228
569,476,575,1087,1091,325,499,717,1123
593,465,586,1043,1134,326,481,695,1132
593,455,596,904,1273,326,440,680,1141
593,438,613,470,1657,376,438,678,1144
499,493,652,469,1456,334,457,501,1209
607,338,825,469,1398,392,452,492,1188
619,402,842,469,1334,456,399,432,1005
666,471,842,469,1285,505,326,409,953
