Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
1263,794,781,787,975,158,240,609,897
1263,819,778,767,1042,153,240,683,854
1267,815,781,762,1042,110,240,679,754
1161,923,781,784,1119,102,225,719,754
952,1135,782,789,1123,102,153,716,698
920,1167,782,773,1123,102,112,716,686
868,1219,860,773,1103,83,106,716,681
1064,1280,785,773,1105,83,110,716,723
1087,1305,707,757,1114,98,110,745,682
1117,1272,698,731,1245,195,73,772,679
1123,1285,675,712,1385,242,72,711,693
1057,1404,675,619,1423,220,80,687,680
1209,1400,561,619,1423,229,61,708,679
1209,1400,497,619,1423,229,49,726,679
1209,1378,472,685,1450,229,53,667,600
1288,1338,468,685,1519,229,160,666,499
1271,1355,518,678,1475,229,183,666,460
1253,1322,482,661,1211,227,183,666,523
1157,1341,506,663,1097,427,172,666,453
1123,1375,542,668,1069,517,177,666,482
1058,1426,546,693,937,516,207,665,477
1021,1424,551,626,841,517,207,665,534
1013,1374,551,626,839,587,207,665,506
929,1441,551,675,786,617,207,665,371
871,1452,554,681,755,638,207,623,361
870,1384,579,673,750,653,201,623,297
870,1331,550,595,747,653,189,623,297
881,1309,494,551,747,653,189,623,329
787,1336,450,332,744,678,190,623,329
779,1330,438,319,631,710,212,653,329
769,1334,389,327,630,710,329,757,329
785,1263,409,368,582,849,430,806,362
760,1263,473,369,515,851,495,621,369
750,1267,470,367,515,927,495,520,464
748,1161,591,343,437,1054,498,474,577
745,952,594,311,430,1054,528,473,583
745,920,594,286,430,1054,531,473,698
745,868,523,260,430,1054,523,473,718
474,1064,557,260,448,1054,568,509,655
415,1087,590,260,454,1027,641,449,672
385,1117,591,259,369,930,713,421,674
366,1123,607,293,460,883,713,438,660
312,1057,624,293,430,872,705,470,660
157,1209,756,316,431,861,705,448,660
157,1209,756,316,553,861,705,449,660
159,1209,756,250,526,861,840,472,660
90,1288,756,285,513,861,749,512,794
117,1271,769,396,513,861,726,552,825
117,1253,809,443,513,860,726,599,926
117,1157,997,487,512,657,726,610,938
117,1123,940,488,512,557,721,610,898
208,1058,936,517,620,731,691,645,900
222,1021,931,540,620,866,691,645,840
222,1013,938,540,628,796,691,645,840
356,929,947,491,628,766,691,646,859
364,871,944,485,644,885,691,646,864
364,870,858,492,676,870,691,658,863
364,870,857,822,680,1077,691,689,857
353,881,857,822,732,1116,691,689,805
666,787,857,822,756,1090,690,705,805
678,779,832,822,771,1092,668,649,805
748,769,811,814,775,1310,551,577,805
733,785,789,773,776,1171,450,508,772
733,760,725,770,776,1178,385,506,765
733,750,725,779,776,1144,480,506,670
733,748,607,813,776,1098,484,533,557
733,745,603,812,776,1180,464,533,551
733,745,609,812,776,1410,461,533,436
733,745,610,812,776,1516,466,533,416
733,474,618,812,764,1606,417,497,416
757,415,585,930,749,1747,344,497,391
791,385,584,1024,716,1843,272,487,388
791,366,568,991,485,1843,273,470,388
791,312,551,1016,477,1871,286,438,388
793,157,405,1053,514,1911,295,408,388
793,157,486,1053,410,1921,316,389,388
791,159,717,1053,410,1989,251,400,388
781,90,717,1018,354,2059,250,384,254
754,117,896,907,354,2314,295,359,223
772,117,883,858,354,2317,366,312,59
929,117,667,1022,354,2322,383,301,37
937,117,887,1062,410,2331,395,301,65
846,208,920,1003,301,2139,395,266,96
832,222,1176,980,314,2003,419,266,97
854,222,1208,980,339,2003,426,266,97
721,356,1211,980,356,2003,426,272,78
759,364,1219,1190,360,1868,426,273,73
1039,364,1328,1177,424,1868,426,261,73
1156,364,1364,809,421,1766,426,230,75
1165,353,1402,824,391,1727,426,268,75
848,666,1415,824,454,1727,426,252,75
834,678,1415,824,543,1821,426,252,75
820,748,1415,824,540,1628,426,217,75
890,733,1415,824,539,1679,426,158,77
893,733,1415,824,539,1701,426,158,77
893,733,1415,826,539,1659,331,158,77
893,733,1412,792,539,1578,324,209,77
909,733,1562,792,552,1496,363,209,77
909,733,1588,792,552,1283,364,209,132
909,733,1596,792,552,1189,359,209,132
909,733,1758,792,544,1099,359,293,132
885,757,1816,674,544,959,359,350,132
851,791,1837,580,526,863,359,358,142
851,791,1971,579,587,863,364,358,142
851,791,1971,554,587,848,351,358,185
849,793,1971,494,549,866,342,358,276
849,793,1934,494,560,866,321,358,352
853,791,1703,494,603,870,247,324,352
902,781,1703,510,604,801,232,300,352
930,754,1461,523,605,546,187,285,352
947,772,1434,561,605,543,116,285,352
856,929,1425,354,605,538,131,285,352
1001,937,1209,323,545,529,129,382,406
1002,846,1205,332,544,529,129,443,395
1003,832,949,392,531,529,105,443,394
