Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2
1209,1189,605,556,533,727,889,703,505,534,837,541,1047
1049,1349,605,556,533,711,905,703,492,547,837,541,1040
1079,1453,605,556,495,749,893,709,448,571,835,541,1108
1040,1547,605,556,495,749,892,639,471,600,485,541,1111
1127,1547,605,556,490,754,881,648,451,622,485,520,1108
1119,1558,605,556,490,747,888,594,479,648,485,444,989
1106,1538,639,556,490,747,888,594,473,654,485,436,657
1050,1549,684,455,591,747,888,594,473,650,489,383,610
1049,1473,761,455,552,786,888,594,473,650,489,290,580
974,1367,942,381,626,786,888,594,473,631,508,169,667
919,1388,771,396,816,786,888,594,473,629,510,99,588
886,1416,740,432,819,786,888,594,473,629,510,98,546
802,1408,806,458,819,776,898,592,475,507,632,98,497
798,1425,788,476,800,743,892,650,475,439,672,85,389
706,1467,845,476,800,704,896,685,475,384,720,84,367
692,1437,797,568,800,663,933,684,476,388,713,84,411
691,1438,671,694,631,832,888,661,540,340,765,84,430
709,1438,628,740,608,855,694,711,683,326,780,84,430
709,1437,629,740,608,810,655,757,721,258,837,88,434
709,1427,639,739,389,935,750,702,776,257,838,88,448
774,1424,642,646,482,935,750,702,776,250,743,88,534
845,1262,802,648,482,935,750,543,935,247,592,81,654
845,1107,955,650,482,935,366,879,983,247,571,263,683
840,1112,955,650,482,830,471,879,983,247,551,365,690
833,1119,955,650,482,811,490,874,945,290,548,356,694
815,1143,955,650,482,793,508,874,743,492,548,354,748
645,1316,955,556,576,790,511,869,662,578,545,381,803
634,1323,959,556,573,793,498,882,662,578,477,750,803
602,1214,1143,558,573,735,508,889,703,578,466,750,815
549,1217,1155,600,573,538,705,889,703,578,466,750,815
549,1180,1187,605,573,516,727,889,703,578,462,750,793
519,1209,1189,605,556,533,727,889,703,505,534,750,792
535,1049,1349,605,556,533,711,905,703,492,547,750,790
468,1079,1453,605,556,495,749,893,709,448,571,750,722
417,1040,1547,605,556,495,749,892,639,471,600,750,746
351,1127,1547,605,556,490,754,881,648,451,622,736,780
357,1119,1558,605,556,490,747,888,594,479,648,736,991
441,1106,1538,639,556,490,747,888,594,473,654,764,994
604,1050,1549,684,455,591,747,888,594,473,650,771,978
607,1049,1473,761,455,552,786,888,594,473,650,778,1049
644,974,1367,942,381,626,786,888,594,473,631,775,1086
644,919,1388,771,396,816,786,888,594,473,629,775,1304
641,886,1416,740,432,819,786,888,594,473,629,786,1243
641,802,1408,806,458,819,776,898,592,475,507,786,1240
628,798,1425,788,476,800,743,892,650,475,439,888,1200
621,706,1467,845,476,800,704,896,685,475,384,1042,1199
622,692,1437,797,568,800,663,933,684,476,388,1063,1145
622,691,1438,671,694,631,832,888,661,540,340,1083,1126
601,709,1438,628,740,608,855,694,711,683,326,1086,1126
620,709,1437,629,740,608,810,655,757,721,258,1077,1122
627,709,1427,639,739,389,935,750,702,776,257,1080,1108
562,774,1424,642,646,482,935,750,702,776,250,1148,1022
517,845,1262,802,648,482,935,750,543,935,247,1139,902
556,845,1107,955,650,482,935,366,879,983,247,951,873
556,840,1112,955,650,482,830,471,879,983,247,848,866
556,833,1119,955,650,482,811,490,874,945,290,837,884
570,815,1143,955,650,482,793,508,874,743,492,837,830
574,645,1316,955,556,576,790,511,869,662,578,835,775
708,634,1323,959,556,573,793,498,882,662,578,485,775
708,602,1214,1143,558,573,735,508,889,703,578,485,763
749,549,1217,1155,600,573,538,705,889,703,578,485,776
778,549,1180,1187,605,573,516,727,889,703,578,485,835
804,519,1209,1189,605,556,533,727,889,703,505,489,835
982,535,1049,1349,605,556,533,711,905,703,492,489,914
935,468,1079,1453,605,556,495,749,893,709,448,508,1079
931,417,1040,1547,605,556,495,749,892,639,471,510,1071
910,351,1127,1547,605,556,490,754,881,648,451,510,1087
901,357,1119,1558,605,556,490,747,888,594,479,632,920
816,441,1106,1538,639,556,490,747,888,594,473,672,917
692,604,1050,1549,684,455,591,747,888,594,473,720,917
689,607,1049,1473,761,455,552,786,888,594,473,713,846
652,644,974,1367,942,381,626,786,888,594,473,765,704
652,644,919,1388,771,396,816,786,888,594,473,780,463
652,641,886,1416,740,432,819,786,888,594,473,837,513
652,641,802,1408,806,458,819,776,898,592,475,838,715
652,628,798,1425,788,476,800,743,892,650,475,743,786
652,621,706,1467,845,476,800,704,896,685,475,592,812
651,622,692,1437,797,568,800,663,933,684,476,571,863
651,622,691,1438,671,694,631,832,888,661,540,551,892
651,601,709,1438,628,740,608,855,694,711,683,548,1008
632,620,709,1437,629,740,608,810,655,757,721,548,1018
625,627,709,1427,639,739,389,935,750,702,776,545,1018
628,562,774,1424,642,646,482,935,750,702,776,477,1022
782,517,845,1262,802,648,482,935,750,543,935,466,1055
820,556,845,1107,955,650,482,935,366,879,983,466,1231
