Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
1159,102,1384,563,721,1123,739,385,591,259
1177,102,1384,563,689,1111,711,366,607,293
1183,83,1487,796,668,1179,646,312,624,293
1123,136,1512,796,675,1135,634,157,756,316
1195,107,1428,796,675,956,609,157,756,316
1443,66,1468,796,673,949,574,159,756,250
1443,66,1468,796,707,984,573,90,756,285
1443,66,1468,772,669,1005,559,117,769,396
1419,90,1470,749,710,1022,382,117,809,443
1417,92,1456,740,709,1046,334,117,997,487
1417,92,1456,758,640,1046,461,117,940,488
1311,198,1456,660,433,1046,461,208,936,517
1261,279,1346,649,224,1131,465,222,931,540
1204,370,1341,649,222,1123,488,222,938,540
1278,370,1341,649,295,1161,504,356,947,491
1250,398,1341,649,208,1161,517,364,944,485
1235,413,1213,649,299,1120,523,364,858,492
1220,433,1191,556,291,1108,510,364,857,822
1237,444,1288,468,291,1240,474,353,857,822
1290,479,1338,468,291,1240,476,666,857,822
1175,638,941,468,291,1234,476,678,832,822
1213,724,941,468,291,1230,476,748,811,814
1267,724,1017,468,305,983,367,733,789,773
1230,762,1114,468,326,713,367,733,725,770
1122,902,929,343,326,713,367,733,725,779
1173,903,898,339,327,683,367,733,607,813
1266,903,879,338,423,645,351,733,603,812
1383,903,866,323,423,645,339,733,609,812
1425,903,842,323,444,555,333,733,610,812
1448,951,933,325,444,555,322,733,618,812
1409,1112,803,326,444,555,311,757,585,930
1376,1159,782,326,444,555,311,791,584,1024
1399,1177,782,376,444,555,330,791,568,991
1401,1183,681,334,444,458,330,791,551,1016
1398,1123,656,392,431,484,330,793,405,1053
1374,1195,642,456,484,523,340,793,486,1053
1320,1443,591,505,587,549,408,791,717,1053
1495,1443,591,505,568,537,492,781,717,1018
1529,1443,591,493,606,611,474,754,896,907
1589,1419,608,507,548,594,415,772,883,858
1618,1417,624,759,548,570,406,929,667,1022
1618,1417,625,772,623,570,270,937,887,1062
1713,1311,629,848,671,570,270,846,920,1003
1689,1261,629,848,695,481,274,832,1176,980
1656,1204,629,848,705,481,465,854,1208,980
1583,1278,629,848,634,443,449,721,1211,980
1591,1250,629,848,614,443,436,759,1219,1190
1593,1235,629,848,523,442,524,1039,1328,1177
1588,1220,629,848,523,442,538,1156,1364,809
1560,1237,532,847,523,274,541,1165,1402,824
1472,1290,482,847,523,281,539,848,1415,824
1428,1175,482,847,525,281,561,834,1415,824
1304,1213,482,957,661,217,561,820,1415,824
1307,1267,367,957,715,217,561,890,1415,824
1382,1230,219,1024,724,232,561,893,1415,824
1417,1122,219,1024,776,392,561,893,1415,826
1369,1173,223,1024,775,392,561,893,1412,792
1313,1266,223,1027,679,392,564,909,1562,792
1197,1383,223,1076,679,396,569,909,1588,792
1155,1425,223,1093,681,398,571,909,1596,792
1084,1448,82,1091,689,471,571,909,1758,792
962,1409,88,1134,689,493,571,885,1816,674
992,1376,124,1273,689,493,571,851,1837,580
995,1399,124,1657,689,493,547,851,1971,579
987,1401,122,1456,689,532,557,851,1971,554
984,1398,122,1398,689,506,598,849,1971,494
936,1374,134,1334,636,467,605,849,1934,494
834,1320,188,1285,533,441,600,853,1703,494
659,1495,222,1286,525,417,555,902,1703,510
625,1529,501,1252,506,322,593,930,1461,523
565,1589,482,1297,506,322,577,947,1434,561
840,1618,465,1045,506,322,594,856,1425,354
881,1618,465,1055,454,322,594,1001,1209,323
810,1713,461,1007,406,322,596,1002,1205,332
899,1689,475,1007,382,322,622,1003,949,392
907,1656,531,1007,499,322,466,993,910,400
906,1583,612,1019,497,322,469,992,898,400
