Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
235,251,766,648,649,1362,554,1124,3,1359
235,251,764,576,689,1291,554,1114,3,1354
235,251,726,576,750,1187,467,977,73,1394
235,251,692,603,886,1168,457,990,221,1394
235,251,685,609,916,1164,300,977,386,1389
220,266,642,597,887,1164,223,871,541,1392
150,336,642,530,926,1081,199,826,618,1392
117,369,640,526,989,1014,287,819,773,1392
86,404,552,529,995,995,397,791,800,1392
86,385,569,491,1215,990,464,706,818,1432
191,398,568,471,1646,989,404,694,1108,1430
249,411,568,466,1738,1025,513,485,1118,1240
331,411,568,466,1845,1024,543,513,1241,1240
530,411,568,356,1900,989,565,513,1353,1260
561,411,568,356,1975,989,565,513,1363,1270
561,411,568,357,1975,989,565,513,1363,1260
561,409,494,366,1988,878,566,673,1363,1260
559,411,493,546,1993,852,575,741,1363,1263
537,425,500,618,2009,839,575,751,1363,1263
537,380,414,710,2080,800,575,1026,1363,1263
542,337,457,753,2144,663,575,1091,1363,1190
547,337,457,801,2322,660,575,1109,1363,970
547,337,457,809,2307,647,575,1184,1363,947
525,295,469,820,2337,437,575,1431,1363,947
524,296,468,800,2432,363,575,1586,1363,947
524,238,296,739,2431,232,595,1732,1363,339
524,238,280,705,2560,233,620,1900,1363,284
525,238,243,665,2721,276,620,1910,1363,318
522,247,241,640,2685,283,620,1955,1363,318
522,247,239,657,2553,292,629,2013,1363,318
531,235,251,614,2494,319,656,2096,1363,265
549,235,251,682,2301,465,720,2086,1363,266
549,235,251,711,2250,756,720,2177,1363,266
550,235,251,747,2230,941,720,2124,1293,246
550,235,251,720,2134,1001,720,2111,1150,246
550,235,251,711,2158,1011,720,2111,993,254
550,220,266,712,2120,1011,720,2101,863,251
550,150,336,709,2038,1006,699,2101,786,251
550,117,369,709,1975,1010,611,2101,639,256
546,86,404,808,1969,1052,501,2101,612,259
546,86,385,807,1773,1038,378,2116,594,172
428,191,398,823,1348,1022,339,2103,307,164
357,249,411,853,1256,985,224,2068,297,239
275,331,411,1387,1152,996,194,2068,174,239
78,530,411,1509,1126,1000,172,2068,264,219
52,561,411,1525,1057,1061,172,2068,419,209
52,561,411,1816,1107,1068,172,2008,647,209
73,561,409,1921,1153,1076,171,1840,657,209
73,559,411,1762,1253,1085,162,1747,670,206
73,537,425,1930,1253,1096,162,1737,715,206
73,537,380,2053,1185,1126,162,1462,715,206
68,542,337,2024,1129,1126,162,1349,715,206
63,547,337,1976,951,1126,162,1331,715,206
63,547,337,1983,958,1126,162,1248,715,206
123,525,295,2023,994,1126,162,993,800,206
124,524,296,2022,994,1126,163,838,855,206
124,524,238,2035,968,1126,178,692,855,201
124,524,238,2035,839,1125,172,524,855,166
123,525,238,2036,695,1087,172,527,855,129
117,522,247,2036,674,1031,172,482,858,129
122,522,247,2008,677,1022,163,429,858,129
113,531,235,1997,681,995,187,359,858,129
121,549,235,1967,681,849,137,201,971,126
124,549,235,1992,681,538,223,142,1018,126
297,550,235,1991,626,325,242,142,1101,109
304,550,235,2022,586,257,314,142,1148,132
308,550,235,2019,531,247,314,150,1248,136
308,550,220,2226,531,247,373,175,1453,144
353,550,150,2271,531,244,397,175,1453,186
378,550,117,2320,531,256,406,175,1460,181
534,546,86,2221,531,214,406,175,1460,255
569,546,86,2298,507,223,396,160,1460,288
723,428,191,2325,501,236,389,160,1457,298
723,357,249,2312,501,274,389,147,1457,223
723,275,331,1778,528,240,389,124,1457,223
724,78,530,1715,513,240,389,124,1252,241
719,52,561,1732,532,179,389,124,1087,251
719,52,561,1464,482,172,389,124,867,391
733,73,561,1356,423,174,389,124,1080,439
733,73,559,1320,320,189,389,124,1354,472
735,73,537,1080,351,178,389,164,1427,492
751,73,537,874,350,148,389,164,1452,577
751,68,542,935,390,148,407,284,1485,769
751,63,547,978,441,148,407,284,1485,831
751,63,547,963,434,148,407,284,1485,831
691,123,525,970,362,148,413,284,1400,831
690,124,524,994,266,149,417,287,1345,831
697,124,524,981,253,149,382,287,1345,841
697,124,524,1003,283,149,363,282,1345,978
697,123,525,998,266,143,363,269,1345,978
697,117,522,998,266,142,378,279,1342,978
692,122,522,979,263,142,383,274,1342,978
692,113,531,974,269,142,430,261,1342,981
666,121,549,934,298,142,527,246,1239,989
663,124,549,878,298,142,445,211,1192,989
489,297,550,888,360,142,522,211,1109,1046
482,304,550,884,366,142,450,211,1057,1266
478,308,550,1047,383,152,450,206,949,1269
478,308,550,952,426,152,391,181,719,1261
433,353,550,1012,526,152,367,456,719,1219
423,378,550,969,526,136,360,475,734,1219
339,534,546,967,582,147,361,720,734,1160
345,569,546,890,594,161,455,753,772,1160
205,723,428,840,599,155,584,753,772,1150
205,723,357,823,620,113,617,753,772,1170
205,723,275,854,638,104,617,748,772,1200
239,724,78,806,626,107,638,748,772,1182
240,719,52,834,601,107,640,748,772,1172
240,719,52,834,614,107,650,748,769,1032
224,733,73,859,615,97,662,748,546,984
236,733,73,859,613,73,671,748,259,951
234,735,73,918,644,73,671,708,141,931
218,751,73,910,743,104,671,708,116,946
218,751,68,835,734,104,687,588,83,947
218,751,63,792,683,104,687,588,113,923
229,751,63,792,763,167,687,623,118,945
229,691,123,734,785,212,681,628,118,1063
229,690,124,711,787,225,676,625,118,1128
222,697,124,711,788,225,676,638,118,1118
222,697,124,689,786,225,676,638,118,966
222,697,123,689,921,227,676,638,118,966
222,697,117,731,931,227,661,628,118,999
228,692,122,731,996,283,656,628,143,1037
240,692,113,731,992,350,559,628,151,1347
240,666,121,731,983,355,456,628,141,1509
240,663,124,731,983,366,463,628,151,1564
