Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
611,1005,403,409,366,1058,841,1141,1412,731,967,571,474,754,896,907,354,2314,295,359,223,316
594,1022,402,409,367,1020,875,1144,1413,492,1206,547,415,772,883,858,354,2317,366,312,59,320
570,1046,402,409,364,782,1048,1209,1416,492,1196,557,406,929,667,1022,354,2322,383,301,37,320
570,1046,401,410,262,550,1354,1188,1465,492,1155,598,270,937,887,1062,410,2331,395,301,65,320
570,1046,401,282,329,564,1398,1005,1651,492,1138,605,270,846,920,1003,301,2139,395,266,96,320
481,1131,405,282,322,437,1532,953,1702,493,1075,600,274,832,1176,980,314,2003,419,266,97,320
481,1123,413,282,321,438,1532,935,1720,474,1055,555,465,854,1208,980,339,2003,426,266,97,381
443,1161,413,282,321,438,1532,935,1666,502,1043,593,449,721,1211,980,356,2003,426,272,78,322
443,1161,410,285,316,443,1532,872,1716,515,1043,577,436,759,1219,1190,360,1868,426,273,73,374
442,1120,452,282,317,445,1532,849,1739,515,1024,594,524,1039,1328,1177,424,1868,426,261,73,351
442,1108,464,282,317,445,1532,731,1857,515,1024,594,538,1156,1364,809,421,1766,426,230,75,541
274,1240,500,282,317,445,1532,702,1886,515,1022,596,541,1165,1402,824,391,1727,426,268,75,512
281,1240,500,282,317,445,1532,515,2073,514,989,622,539,848,1415,824,454,1727,426,252,75,510
281,1234,506,282,317,445,1527,504,2089,319,1126,466,561,834,1415,824,543,1821,426,252,75,494
217,1230,574,282,317,443,1528,504,2072,337,1123,469,561,820,1415,824,540,1628,426,217,75,488
217,983,821,282,317,443,1521,469,2111,340,1123,467,561,890,1415,824,539,1679,426,158,77,640
232,713,1091,282,317,434,1493,479,2138,340,1123,373,561,893,1415,824,539,1701,426,158,77,682
392,713,1091,282,317,434,1489,437,2154,370,1123,359,561,893,1415,826,539,1659,331,158,77,707
392,683,1121,282,317,434,1489,338,2127,496,1123,356,561,893,1412,792,539,1578,324,209,77,568
392,645,1158,283,317,434,1489,331,2080,550,1123,356,564,909,1562,792,552,1496,363,209,77,568
396,645,1157,284,317,406,1517,331,2049,581,1123,334,569,909,1588,792,552,1283,364,209,132,568
398,555,1247,284,317,361,1506,387,2049,581,1123,334,571,909,1596,792,552,1189,359,209,132,608
471,555,1247,284,317,342,1500,412,2034,596,1094,363,571,909,1758,792,544,1099,359,293,132,626
493,555,1244,202,402,314,1372,511,1984,703,1086,371,571,885,1816,674,544,959,359,350,132,763
493,555,1123,287,438,312,1371,509,1742,950,1033,424,571,851,1837,580,526,863,359,358,142,900
493,555,1111,299,438,312,1332,524,1731,871,1144,427,547,851,1971,579,587,863,364,358,142,900
532,458,1179,326,440,312,1318,530,1697,905,1112,464,557,851,1971,554,587,848,351,358,185,1112
506,484,1135,370,440,286,1241,572,1406,1257,1029,542,598,849,1971,494,549,866,342,358,276,1139
467,523,956,518,471,267,1213,619,1228,1400,1060,544,605,849,1934,494,560,866,321,358,352,1139
441,549,949,525,469,198,1279,624,1123,1421,1025,663,600,853,1703,494,603,870,247,324,352,1139
417,537,984,432,422,324,1151,758,1132,1411,742,956,555,902,1703,510,604,801,232,300,352,1139
322,611,1005,403,409,366,1058,841,1141,1412,731,967,593,930,1461,523,605,546,187,285,352,1139
322,594,1022,402,409,367,1020,875,1144,1413,492,1206,577,947,1434,561,605,543,116,285,352,1135
322,570,1046,402,409,364,782,1048,1209,1416,492,1196,594,856,1425,354,605,538,131,285,352,1135
322,570,1046,401,410,262,550,1354,1188,1465,492,1155,594,1001,1209,323,545,529,129,382,406,1135
322,570,1046,401,282,329,564,1398,1005,1651,492,1138,596,1002,1205,332,544,529,129,443,395,1135
322,481,1131,405,282,322,437,1532,953,1702,493,1075,622,1003,949,392,531,529,105,443,394,1190
322,481,1123,413,282,321,438,1532,935,1720,474,1055,466,993,910,400,498,529,220,443,508,1140
322,443,1161,413,282,321,438,1532,935,1666,502,1043,469,992,898,400,481,529,258,436,569,1140
322,443,1161,410,285,316,443,1532,872,1716,515,1043,467,946,890,190,461,524,363,436,632,1086
322,442,1120,452,282,317,445,1532,849,1739,515,1024,373,666,781,190,365,524,438,436,632,1083
322,442,1108,464,282,317,445,1532,731,1857,515,1024,359,549,745,265,364,419,438,436,630,955
322,274,1240,500,282,317,445,1532,702,1886,515,1022,356,540,707,254,342,419,438,398,630,1028
315,281,1240,500,282,317,445,1532,515,2073,514,989,356,589,694,326,255,419,438,398,630,1015
494,281,1234,506,282,317,445,1527,504,2089,319,1126,334,551,694,326,151,292,438,386,647,1015
623,217,1230,574,282,317,443,1528,504,2072,337,1123,334,525,807,384,150,288,438,386,647,1014
623,217,983,821,282,317,443,1521,469,2111,340,1123,363,458,967,384,150,237,438,386,852,862
608,232,713,1091,282,317,434,1493,479,2138,340,1123,371,455,1123,384,150,206,559,386,853,820
448,392,713,1091,282,317,434,1489,437,2154,370,1123,424,455,1123,373,228,206,606,386,853,795
448,392,683,1121,282,317,434,1489,338,2127,496,1123,427,455,1123,373,258,206,607,391,853,795
448,392,645,1158,283,317,434,1489,331,2080,550,1123,464,439,973,373,246,207,568,472,864,796
444,396,645,1157,284,317,406,1517,331,2049,581,1123,542,439,941,373,326,190,622,539,809,796
442,398,555,1247,284,317,361,1506,387,2049,581,1123,544,439,924,406,326,178,622,539,830,756
369,471,555,1247,284,317,342,1500,412,2034,596,1094,663,439,820,730,326,236,660,455,832,738
347,493,555,1244,202,402,314,1372,511,1984,703,1086,956,439,774,731,326,263,763,440,833,601
356,493,555,1123,287,438,312,1371,509,1742,950,1033,967,439,754,731,326,401,804,439,829,457
506,493,555,1111,299,438,312,1332,524,1731,871,1144,1206,439,620,731,263,416,846,474,829,457
473,532,458,1179,326,440,312,1318,530,1697,905,1112,1196,454,620,731,263,473,900,474,786,245
473,506,484,1135,370,440,286,1241,572,1406,1257,1029,1155,469,620,731,263,416,902,474,695,218
473,467,523,956,518,471,267,1213,619,1228,1400,1060,1138,469,678,731,236,656,902,474,619,218
473,441,549,949,525,469,198,1279,624,1123,1421,1025,1075,465,793,731,376,584,902,475,619,218
473,417,537,984,432,422,324,1151,758,1132,1411,742,1055,527,794,715,486,583,902,581,619,242
473,322,611,1005,403,409,366,1058,841,1141,1412,731,1043,569,799,702,491,583,902,581,619,242
473,322,594,1022,402,409,367,1020,875,1144,1413,492,1043,535,799,664,534,583,902,656,630,245
482,322,570,1046,402,409,364,782,1048,1209,1416,492,1024,647,987,660,534,583,870,656,709,245
629,322,570,1046,401,410,262,550,1354,1188,1465,492,1024,519,982,645,598,586,860,620,689,269
629,322,570,1046,401,282,329,564,1398,1005,1651,492,1022,545,953,635,603,586,860,740,793,376
629,322,481,1131,405,282,322,437,1532,953,1702,493,989,574,953,575,626,586,860,742,825,330
658,322,481,1123,413,282,321,438,1532,935,1720,474,1126,568,953,567,654,586,738,780,877,418
658,322,443,1161,413,282,321,438,1532,935,1666,502,1123,575,953,567,655,586,700,814,816,535
