Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2
889,465,632,1145,1649,594,561,417,218,1491,670,1180,767,458
985,421,509,1312,1649,594,473,408,313,1493,670,931,962,458
1082,421,509,1312,1647,596,473,343,338,1533,658,882,951,443
1090,421,509,1312,1647,596,473,335,346,1533,608,896,986,501
1090,385,545,1312,1647,596,473,303,377,1452,690,896,1014,505
1042,345,633,1312,1637,606,473,283,397,1449,693,896,1034,478
780,612,633,1312,1299,944,473,283,389,1434,562,1043,1040,500
716,722,633,1282,1296,977,473,275,395,1355,504,1121,1040,490
710,731,633,1247,1326,980,459,243,441,1329,511,947,1066,490
533,908,633,1247,1326,900,539,208,476,1329,478,977,1184,237
531,868,675,1247,1309,871,585,208,476,1316,491,942,1170,239
839,873,675,1246,1269,841,639,219,482,1316,478,927,1373,229
839,896,675,1079,1414,765,657,299,472,1307,497,907,1402,229
863,905,675,1079,1372,805,654,304,471,1292,513,901,1397,229
865,962,675,1079,1298,879,647,298,476,1300,424,990,1380,229
749,1078,675,1079,1245,932,647,297,462,1315,424,964,1336,245
715,1090,701,1079,1164,1012,646,299,462,1314,425,846,1336,270
713,912,888,1079,1164,1012,564,366,477,1166,573,799,1336,251
709,920,888,953,902,1400,525,404,423,1101,693,555,1336,251
890,920,888,316,1349,1590,499,430,423,1016,778,526,1336,251
1136,920,587,607,1303,1646,370,559,423,858,936,518,1316,251
1144,920,587,604,1305,1647,370,559,423,857,937,515,1275,255
1214,889,574,646,1209,1745,370,559,421,858,925,528,1275,279
1352,882,573,650,1194,1764,349,580,387,828,989,528,1248,279
1470,891,523,702,1191,1767,300,629,373,799,1032,528,1180,279
1507,891,523,702,1155,1803,300,629,364,678,1146,544,931,279
1507,891,482,740,1158,1603,500,626,367,661,1162,545,882,283
1507,891,479,724,1170,1587,523,615,378,661,1162,545,896,295
1507,891,464,645,1189,1658,527,561,432,534,1289,545,896,295
1507,889,465,646,1178,1669,527,561,432,471,1352,545,896,295
1659,889,465,646,1131,1649,594,561,421,248,1460,668,1043,299
1758,889,465,632,1145,1649,594,561,417,218,1491,670,1121,310
1805,985,421,509,1312,1649,594,473,408,313,1493,670,947,336
1768,1082,421,509,1312,1647,596,473,343,338,1533,658,977,369
1812,1090,421,509,1312,1647,596,473,335,346,1533,608,942,311
1828,1090,385,545,1312,1647,596,473,303,377,1452,690,927,306
2000,1042,345,633,1312,1637,606,473,283,397,1449,693,907,293
2010,780,612,633,1312,1299,944,473,283,389,1434,562,901,271
2055,716,722,633,1282,1296,977,473,275,395,1355,504,990,270
2052,710,731,633,1247,1326,980,459,243,441,1329,511,964,269
2060,533,908,633,1247,1326,900,539,208,476,1329,478,846,268
2065,531,868,675,1247,1309,871,585,208,476,1316,491,799,266
1789,839,873,675,1246,1269,841,639,219,482,1316,478,555,266
1767,839,896,675,1079,1414,765,657,299,472,1307,497,526,266
1734,863,905,675,1079,1372,805,654,304,471,1292,513,518,266
1675,865,962,675,1079,1298,879,647,298,476,1300,424,515,266
1675,749,1078,675,1079,1245,932,647,297,462,1315,424,528,207
1683,715,1090,701,1079,1164,1012,646,299,462,1314,425,528,126
1687,713,912,888,1079,1164,1012,564,366,477,1166,573,528,124
1719,709,920,888,953,902,1400,525,404,423,1101,693,544,124
1538,890,920,888,316,1349,1590,499,430,423,1016,778,545,124
1292,1136,920,587,607,1303,1646,370,559,423,858,936,545,124
1286,1144,920,587,604,1305,1647,370,559,423,857,937,545,120
1218,1214,889,574,646,1209,1745,370,559,421,858,925,545,96
1080,1352,882,573,650,1194,1764,349,580,387,828,989,668,97
951,1470,891,523,702,1191,1767,300,629,373,799,1032,670,97
914,1507,891,523,702,1155,1803,300,629,364,678,1146,670,97
928,1507,891,482,740,1158,1603,500,626,367,661,1162,658,93
928,1507,891,479,724,1170,1587,523,615,378,661,1162,608,87
997,1507,891,464,645,1189,1658,527,561,432,534,1289,690,95
997,1507,889,465,646,1178,1669,527,561,432,471,1352,693,116
845,1659,889,465,646,1131,1649,594,561,421,248,1460,562,167
746,1758,889,465,632,1145,1649,594,561,417,218,1491,504,579
617,1805,985,421,509,1312,1649,594,473,408,313,1493,511,589
557,1768,1082,421,509,1312,1647,596,473,343,338,1533,478,564
511,1812,1090,421,509,1312,1647,596,473,335,346,1533,491,698
497,1828,1090,385,545,1312,1647,596,473,303,377,1452,478,708
325,2000,1042,345,633,1312,1637,606,473,283,397,1449,497,784
310,2010,780,612,633,1312,1299,944,473,283,389,1434,513,784
219,2055,716,722,633,1282,1296,977,473,275,395,1355,424,788
219,2052,710,731,633,1247,1326,980,459,243,441,1329,424,860
211,2060,533,908,633,1247,1326,900,539,208,476,1329,425,1055
234,2065,531,868,675,1247,1309,871,585,208,476,1316,573,1208
197,1789,839,873,675,1246,1269,841,639,219,482,1316,693,1302
196,1767,839,896,675,1079,1414,765,657,299,472,1307,778,1608
196,1734,863,905,675,1079,1372,805,654,304,471,1292,936,1659
196,1675,865,962,675,1079,1298,879,647,298,476,1300,937,1671
279,1675,749,1078,675,1079,1245,932,647,297,462,1315,925,1669
267,1683,715,1090,701,1079,1164,1012,646,299,462,1314,989,1690
256,1687,713,912,888,1079,1164,1012,564,366,477,1166,1032,1719
328,1719,709,920,888,953,902,1400,525,404,423,1101,1146,1737
328,1538,890,920,888,316,1349,1590,499,430,423,1016,1162,1758
358,1292,1136,920,587,607,1303,1646,370,559,423,858,1162,1776
441,1286,1144,920,587,604,1305,1647,370,559,423,857,1289,1779
440,1218,1214,889,574,646,1209,1745,370,559,421,858,1352,1779
443,1080,1352,882,573,650,1194,1764,349,580,387,828,1460,1778
614,951,1470,891,523,702,1191,1767,300,629,373,799,1491,1783
626,914,1507,891,523,702,1155,1803,300,629,364,678,1493,1826
612,928,1507,891,482,740,1158,1603,500,626,367,661,1533,1841
613,928,1507,891,479,724,1170,1587,523,615,378,661,1533,1872
