Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
658,322,1123,575,953,567,655
658,322,1123,577,963,567,1015
658,322,1123,709,963,567,1042
658,322,1123,711,963,492,1138
658,322,1123,794,966,567,1149
658,315,1123,782,1150,495,1164
479,494,1123,778,1162,546,1164
350,623,1123,745,1050,488,1164
350,623,1094,1020,917,489,1164
350,608,1086,1022,800,532,1164
350,448,1033,1024,800,579,1086
382,448,1144,1024,802,621,1056
388,448,1112,1024,802,647,1055
388,444,1029,1024,805,648,975
388,442,1060,1024,805,630,975
388,369,1025,1123,723,368,991
390,347,742,1123,713,380,1045
400,356,731,1123,910,411,1107
250,506,492,1158,912,554,1109
244,473,492,1143,1092,688,1140
285,473,492,1203,1102,705,1140
369,473,492,1372,1062,813,1200
399,473,493,1419,947,838,1041
399,473,474,1309,946,898,930
410,473,502,1241,993,899,924
481,473,515,1272,993,899,968
627,482,515,1114,805,899,968
517,629,515,1096,979,933,918
517,629,515,1069,1110,946,913
518,629,514,1039,1216,948,958
491,658,319,1034,1221,952,976
491,658,337,1027,1221,952,981
491,658,340,1025,1211,952,621
491,658,340,901,1211,952,665
491,658,370,904,1259,952,573
491,658,496,821,1263,873,562
491,658,550,784,1079,873,578
491,479,581,819,1160,822,594
491,350,581,819,1174,822,594
491,350,596,541,1147,834,594
491,350,703,553,1108,791,595
491,350,950,552,1108,829,651
459,382,871,598,1137,796,873
453,388,905,616,1137,936,1187
453,388,1257,616,1147,944,1353
453,388,1400,616,1147,929,1417
453,388,1421,529,1133,867,1445
473,390,1411,530,1138,854,1765
471,400,1412,530,941,823,1795
517,250,1413,495,1098,748,1853
703,244,1416,519,952,618,2031
671,285,1465,444,1081,613,2130
647,369,1651,275,1073,720,2088
640,399,1702,228,1128,696,2086
640,399,1720,227,1134,636,2089
629,410,1666,225,1205,663,2089
558,481,1716,247,1292,667,2008
403,627,1739,356,1391,667,2008
366,517,1857,502,1271,636,2038
366,517,1886,505,1161,657,2069
365,518,2073,505,1055,677,2017
363,491,2089,504,1050,691,1971
381,491,2072,527,1195,691,1965
381,491,2111,527,1247,691,1966
418,491,2138,520,1252,693,1940
418,491,2154,515,1231,693,1956
496,491,2127,515,1226,698,1986
555,491,2080,515,1235,700,1955
561,491,2049,480,1142,700,1939
563,491,2049,480,1159,705,1940
563,491,2034,479,1172,696,1940
563,491,1984,465,1242,696,1939
565,491,1742,535,1354,614,1883
592,459,1731,494,1467,614,1661
592,453,1697,512,1467,470,1347
624,453,1406,551,1550,469,1181
673,453,1228,611,1616,469,1182
717,453,1123,631,1650,481,1139
695,473,1132,631,1643,481,765
680,471,1141,713,1642,481,683
678,517,1144,796,1483,413,624
501,703,1209,788,1503,415,415
492,671,1188,801,1409,414,316
432,647,1005,812,1355,221,296
409,640,953,856,1303,226,274
409,640,935,898,1297,226,293
409,629,935,898,1228,200,293
409,558,872,844,1244,246,291
409,403,849,715,1164,259,291
409,366,731,562,1110,312,281
409,366,702,559,1242,291,255
415,365,515,559,1276,420,279
433,363,504,559,1290,695,330
549,381,504,536,1181,816,343
648,381,469,536,1251,847,355
612,418,479,535,1263,850,311
612,418,437,535,1249,850,295
534,496,338,535,1247,864,265
475,555,331,535,1271,980,290
477,561,331,537,1272,1141,382
574,563,387,537,1240,1136,384
587,563,412,552,1227,1132,384
587,563,511,564,1157,1132,385
608,565,509,493,1046,1139,385
581,592,524,496,903,1158,390
585,592,530,547,962,1317,393
553,624,572,508,918,1478,482
588,673,619,496,884,1559,516
567,717,624,609,854,1617,523
567,695,758,763,869,1620,523
565,680,841,681,869,1625,513
521,678,875,598,870,1632,512
521,501,1048,582,946,1633,512
522,492,1354,569,939,1622,543
522,432,1398,558,948,1600,590
522,409,1532,514,1147,1671,633
538,409,1532,472,1391,1671,611
576,409,1532,472,1343,1691,611
577,409,1532,472,1240,1641,628
660,409,1532,472,1221,1668,665
683,409,1532,472,1222,1615,680
703,409,1532,472,1104,1602,675
901,415,1532,472,1070,1451,635
1050,433,1527,472,1056,1158,589
1017,549,1528,472,1020,1037,582
985,648,1521,472,898,1006,588
1026,612,1493,507,881,1001,592
1079,612,1489,517,868,1001,590
1118,534,1489,517,871,982,607
1127,475,1489,517,851,865,582
1179,477,1517,563,863,705,490
1086,574,1506,586,868,705,487
1073,587,1500,573,954,719,487
1073,587,1372,572,1036,727,486
1050,608,1371,650,1124,719,486
1072,581,1332,701,1188,691,486
1080,585,1318,650,1172,510,530
1102,553,1241,767,1200,341,526
1026,588,1213,777,1205,260,473
1016,567,1279,642,1197,199,536
1017,567,1151,487,1182,284,536
1017,565,1058,487,1182,293,536
1049,521,1020,490,1181,286,536
1091,521,782,491,1051,279,536
1091,522,550,491,1036,295,505
1091,522,564,491,1092,295,458
1091,522,437,495,999,219,438
1075,538,438,541,839,219,468
1042,576,438,546,907,220,519
1082,577,443,592,956,248,549
1059,660,445,607,985,301,514
1036,683,445,870,987,302,466
1021,703,445,925,952,389,466
817,901,445,980,952,389,467
650,1050,445,1012,1144,411,462
549,1017,443,1212,1147,433,456
482,985,443,1216,1147,443,437
440,1026,434,1181,1147,511,434
387,1079,434,1171,1157,582,439
348,1118,434,1171,1154,584,426
339,1127,434,1211,1141,700,457
279,1179,406,1275,1128,710,511
273,1086,361,1382,1123,710,581
273,1073,342,1380,1051,696,640
293,1073,314,1419,980,688,720
293,1050,312,1435,924,686,733
273,1072,312,1402,859,726,743
292,1080,312,1469,817,754,696
271,1102,286,1491,744,754,611
271,1026,267,1457,707,754,565
314,1016,198,1448,729,844,494
313,1017,324,1448,769,807,546
313,1017,366,1448,769,794,604
281,1049,367,1445,820,934,683
230,1091,364,1444,897,937,744
235,1091,262,1444,874,921,761
241,1091,329,1469,823,921,761
266,1091,322,1479,753,920,745
266,1075,321,1433,727,938,744
263,1042,321,1428,670,916,707
228,1082,316,1382,668,890,694
168,1059,317,1367,708,797,692
255,1036,317,1105,758,793,691
251,1021,317,1050,780,706,691
