Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
640,491,1268,865,765,836,392,927,892,1126,680,695,675,742
642,491,1268,864,766,810,418,811,1008,1126,826,697,632,733
648,491,1227,839,832,805,423,801,1018,1122,832,758,572,594
657,510,1209,812,820,846,437,803,1018,1108,856,782,539,607
720,510,1209,809,821,848,379,857,1022,1022,855,776,486,619
729,511,1096,922,821,848,378,825,1055,902,873,885,482,629
737,515,1100,922,793,876,331,696,1231,873,873,851,520,592
737,515,1081,941,793,876,331,673,1254,866,893,927,518,592
737,515,1079,943,793,869,326,685,1232,884,937,929,542,616
573,679,1079,871,622,1109,321,674,1251,830,946,929,569,499
570,682,1079,692,801,1100,330,674,1251,775,946,947,593,481
550,702,1079,639,854,1063,367,669,1256,775,716,946,593,440
527,760,1079,639,854,1044,386,598,1327,763,707,947,593,438
553,734,1155,639,854,977,291,716,1358,776,826,924,499,457
508,689,1253,639,854,906,354,724,1299,835,1158,906,607,452
561,637,1302,627,869,906,341,730,1306,835,1221,993,619,399
654,611,1264,685,704,1077,318,747,1233,914,1252,1105,666,326
778,609,1190,687,690,1153,330,747,1068,1079,1270,1122,671,317
848,542,1257,473,904,1138,345,747,1040,1071,1373,1128,668,317
842,505,1091,683,904,1138,345,747,989,1087,1403,1196,668,275
841,506,1033,741,904,916,567,747,945,920,1452,1279,699,275
854,457,1065,758,864,870,653,715,977,917,1500,1278,699,274
743,569,1065,713,879,895,658,598,1094,917,1412,1278,689,228
694,618,1065,713,879,895,658,579,1112,846,1394,1320,689,218
644,668,1065,713,874,900,658,579,1112,704,1362,1292,687,218
636,674,1052,707,828,967,658,532,1158,463,1362,1293,677,216
641,674,649,1057,877,971,658,532,1108,513,1306,1213,677,216
641,674,420,1283,880,883,746,521,917,715,1296,1198,689,216
637,670,428,1283,880,883,746,515,852,786,1296,1242,680,272
637,634,491,1275,888,805,824,453,888,812,1296,1194,667,356
643,634,491,1274,869,808,841,360,930,863,1296,1186,660,440
642,640,491,1268,865,765,836,392,927,892,1296,1127,680,344
661,642,491,1268,864,766,810,418,811,1008,1150,1045,680,344
657,648,491,1227,839,832,805,423,801,1018,1144,947,680,344
630,657,510,1209,812,820,846,437,803,1018,1106,918,672,346
567,720,510,1209,809,821,848,379,857,1022,1106,892,672,365
557,729,511,1096,922,821,848,378,825,1055,1088,633,672,402
541,737,515,1100,922,793,876,331,696,1231,1088,606,634,419
541,737,515,1081,941,793,876,331,673,1254,1090,529,642,419
541,737,515,1079,943,793,869,326,685,1232,1047,527,645,395
541,573,679,1079,871,622,1109,321,674,1251,1040,527,629,411
541,570,682,1079,692,801,1100,330,674,1251,1108,502,606,411
541,550,702,1079,639,854,1063,367,669,1256,1111,627,640,411
520,527,760,1079,639,854,1044,386,598,1327,1108,705,704,433
444,553,734,1155,639,854,977,291,716,1358,989,803,721,441
