Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
421,677,1391,482,608,1470,302,547,834,558,1716,247,1292,667,2008,1028,637
416,682,1391,465,624,1456,317,552,828,403,1739,356,1391,667,2008,849,671
423,682,1390,465,625,1456,317,552,810,366,1857,502,1271,636,2038,779,706
422,683,1390,461,629,1456,317,561,842,366,1886,505,1161,657,2069,899,706
422,683,1376,475,629,1346,427,561,852,365,2073,505,1055,677,2017,844,713
485,683,1320,531,629,1341,432,563,852,363,2089,504,1050,691,1971,750,967
485,683,1239,612,629,1341,432,573,854,381,2072,527,1195,691,1965,735,1073
565,683,1234,617,629,1341,432,573,843,381,2111,527,1247,691,1966,717,1124
580,683,1138,713,629,1213,557,573,811,418,2138,520,1252,693,1940,693,1124
580,683,1020,831,629,1191,571,647,789,418,2154,515,1231,693,1956,611,1115
628,680,1022,832,532,1288,548,665,715,496,2127,515,1226,698,1986,615,1095
636,680,1020,834,482,1338,538,680,651,555,2080,515,1235,700,1955,615,1051
695,655,867,1012,482,941,876,675,742,561,2049,480,1142,700,1939,615,1176
697,715,878,1021,482,941,869,632,733,563,2049,480,1159,705,1940,630,1176
758,747,860,1044,367,1017,908,572,594,563,2034,479,1172,696,1940,673,1194
782,752,842,1062,219,1114,959,539,607,563,1984,465,1242,696,1939,675,1170
776,784,772,1132,219,929,1144,486,619,565,1742,535,1354,614,1883,675,1170
885,934,771,1113,223,898,1191,482,629,592,1731,494,1467,614,1661,675,1180
851,995,771,1113,223,879,1160,520,592,592,1697,512,1467,470,1347,675,1188
927,990,527,1363,223,866,1173,518,592,624,1406,551,1550,469,1181,675,1291
929,977,434,1469,223,842,1197,542,616,673,1228,611,1616,469,1182,675,1291
929,969,358,1553,82,933,1247,569,499,717,1123,631,1650,481,1139,694,1283
947,976,358,1539,88,803,1385,593,481,695,1132,631,1643,481,765,743,1264
946,977,184,1666,124,782,1384,593,440,680,1141,713,1642,481,683,847,1259
947,961,118,1748,124,782,1384,593,438,678,1144,796,1483,413,624,877,1266
924,928,174,1748,122,681,1487,499,457,501,1209,788,1503,415,415,878,1254
906,927,193,1748,122,656,1512,607,452,492,1188,801,1409,414,316,977,1246
993,739,381,1736,134,642,1428,619,399,432,1005,812,1355,221,296,982,1303
1105,490,630,1682,188,591,1468,666,326,409,953,856,1303,226,274,982,1349
1122,489,609,1670,222,591,1468,671,317,409,935,898,1297,226,293,953,1252
1128,485,613,1391,501,591,1468,668,317,409,935,898,1228,200,293,849,1170
1196,421,677,1391,482,608,1470,668,275,409,872,844,1244,246,291,645,1102
1279,416,682,1391,465,624,1456,699,275,409,849,715,1164,259,291,644,1068
1278,423,682,1390,465,625,1456,699,274,409,731,562,1110,312,281,641,1033
1278,422,683,1390,461,629,1456,689,228,409,702,559,1242,291,255,571,1033
1320,422,683,1376,475,629,1346,689,218,415,515,559,1276,420,279,686,1026
1292,485,683,1320,531,629,1341,687,218,433,504,559,1290,695,330,714,772
1293,485,683,1239,612,629,1341,677,216,549,504,536,1181,816,343,642,719
1213,565,683,1234,617,629,1341,677,216,648,469,536,1251,847,355,644,668
1198,580,683,1138,713,629,1213,689,216,612,479,535,1263,850,311,644,668
1242,580,683,1020,831,629,1191,680,272,612,437,535,1249,850,295,639,668
1194,628,680,1022,832,532,1288,667,356,534,338,535,1247,864,265,753,723
1186,636,680,1020,834,482,1338,660,440,475,331,535,1271,980,290,806,729
1127,695,655,867,1012,482,941,680,344,477,331,537,1272,1141,382,833,613
1045,697,715,878,1021,482,941,680,344,574,387,537,1240,1136,384,915,657
947,758,747,860,1044,367,1017,680,344,587,412,552,1227,1132,384,990,549
918,782,752,842,1062,219,1114,672,346,587,511,564,1157,1132,385,988,561
892,776,784,772,1132,219,929,672,365,608,509,493,1046,1139,385,990,665
633,885,934,771,1113,223,898,672,402,581,524,496,903,1158,390,1051,655
606,851,995,771,1113,223,879,634,419,585,530,547,962,1317,393,1148,647
529,927,990,527,1363,223,866,642,419,553,572,508,918,1478,482,1192,544
527,929,977,434,1469,223,842,645,395,588,619,496,884,1559,516,1200,542
