Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
1220,433,475,1191,556,291,1108,510,364
1237,444,475,1288,468,291,1240,474,353
1290,479,475,1338,468,291,1240,476,666
1175,638,475,941,468,291,1234,476,678
1213,724,475,941,468,291,1230,476,748
1267,724,469,1017,468,305,983,367,733
1230,762,419,1114,468,326,713,367,733
1122,902,384,929,343,326,713,367,733
1173,903,347,898,339,327,683,367,733
1266,903,347,879,338,423,645,351,733
1383,903,132,866,323,423,645,339,733
1425,903,128,842,323,444,555,333,733
1448,951,107,933,325,444,555,322,733
1409,1112,102,803,326,444,555,311,757
1376,1159,102,782,326,444,555,311,791
1399,1177,102,782,376,444,555,330,791
1401,1183,83,681,334,444,458,330,791
1398,1123,136,656,392,431,484,330,793
1374,1195,107,642,456,484,523,340,793
1320,1443,66,591,505,587,549,408,791
1495,1443,66,591,505,568,537,492,781
1529,1443,66,591,493,606,611,474,754
1589,1419,90,608,507,548,594,415,772
1618,1417,92,624,759,548,570,406,929
1618,1417,92,625,772,623,570,270,937
1713,1311,198,629,848,671,570,270,846
1689,1261,279,629,848,695,481,274,832
1656,1204,370,629,848,705,481,465,854
1583,1278,370,629,848,634,443,449,721
1591,1250,398,629,848,614,443,436,759
1593,1235,413,629,848,523,442,524,1039
1588,1220,433,629,848,523,442,538,1156
1560,1237,444,532,847,523,274,541,1165
1472,1290,479,482,847,523,281,539,848
1428,1175,638,482,847,525,281,561,834
1304,1213,724,482,957,661,217,561,820
1307,1267,724,367,957,715,217,561,890
1382,1230,762,219,1024,724,232,561,893
1417,1122,902,219,1024,776,392,561,893
1369,1173,903,223,1024,775,392,561,893
1313,1266,903,223,1027,679,392,564,909
1197,1383,903,223,1076,679,396,569,909
1155,1425,903,223,1093,681,398,571,909
1084,1448,951,82,1091,689,471,571,909
962,1409,1112,88,1134,689,493,571,885
992,1376,1159,124,1273,689,493,571,851
995,1399,1177,124,1657,689,493,547,851
987,1401,1183,122,1456,689,532,557,851
984,1398,1123,122,1398,689,506,598,849
936,1374,1195,134,1334,636,467,605,849
834,1320,1443,188,1285,533,441,600,853
659,1495,1443,222,1286,525,417,555,902
625,1529,1443,501,1252,506,322,593,930
565,1589,1419,482,1297,506,322,577,947
840,1618,1417,465,1045,506,322,594,856
881,1618,1417,465,1055,454,322,594,1001
810,1713,1311,461,1007,406,322,596,1002
899,1689,1261,475,1007,382,322,622,1003
907,1656,1204,531,1007,499,322,466,993
906,1583,1278,612,1019,497,322,469,992
903,1591,1250,617,1032,567,322,467,946
901,1593,1235,713,1135,654,322,373,666
901,1588,1220,831,1249,682,322,359,549
952,1560,1237,832,1249,682,322,356,540
1009,1472,1290,834,1249,863,315,356,589
1035,1428,1175,1012,1249,900,494,334,551
