Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1
1167,567,614,208,984,523,228,1082,658
1081,654,523,299,984,523,168,1059,658
1053,682,523,291,992,436,255,1036,658
1056,682,523,291,992,435,251,1021,658
875,863,523,291,992,435,251,817,658
836,900,525,291,992,435,251,650,479
641,995,661,291,992,435,251,549,350
641,927,715,305,984,443,251,482,350
539,1010,724,326,955,472,251,440,350
518,982,776,326,873,515,290,387,350
537,982,775,327,870,446,362,348,382
654,983,679,423,870,412,396,339,388
620,1022,679,423,721,514,443,279,388
562,1097,681,444,721,510,447,273,388
539,1112,689,444,721,510,447,273,388
549,1124,689,444,721,510,427,293,390
453,1221,689,444,721,510,427,293,400
427,1249,689,444,689,542,425,273,250
456,1278,689,444,668,563,394,292,244
456,1278,689,431,675,569,393,271,285
456,1278,636,484,675,569,385,271,369
456,1278,533,587,673,571,329,314,399
456,1271,525,568,707,571,329,313,399
509,1252,506,606,669,523,415,313,410
512,1252,506,548,710,538,417,281,481
518,1252,506,548,709,503,453,230,627
537,1229,454,623,640,502,517,235,517
551,1229,406,671,433,694,526,241,517
551,1229,382,695,224,892,512,266,518
420,1233,499,705,222,877,529,266,491
414,1239,497,634,295,877,527,263,491
425,1167,567,614,208,984,523,228,491
456,1081,654,523,299,984,523,168,491
478,1053,682,523,291,992,436,255,491
552,1056,682,523,291,992,435,251,491
624,875,863,523,291,992,435,251,491
645,836,900,525,291,992,435,251,491
618,641,995,661,291,992,435,251,491
757,641,927,715,305,984,443,251,491
746,539,1010,724,326,955,472,251,491
743,518,982,776,326,873,515,290,491
724,537,982,775,327,870,446,362,459
643,654,983,679,423,870,412,396,453
638,620,1022,679,423,721,514,443,453
598,562,1097,681,444,721,510,447,453
715,539,1112,689,444,721,510,447,453
713,549,1124,689,444,721,510,427,473
753,453,1221,689,444,721,510,427,471
753,427,1249,689,444,689,542,425,517
695,456,1278,689,444,668,563,394,703
713,456,1278,689,431,675,569,393,671
766,456,1278,636,484,675,569,385,647
839,456,1278,533,587,673,571,329,640
848,456,1271,525,568,707,571,329,640
795,509,1252,506,606,669,523,415,629
834,512,1252,506,548,710,538,417,558
828,518,1252,506,548,709,503,453,403
810,537,1229,454,623,640,502,517,366
842,551,1229,406,671,433,694,526,366
852,551,1229,382,695,224,892,512,365
852,420,1233,499,705,222,877,529,363
854,414,1239,497,634,295,877,527,381
843,425,1167,567,614,208,984,523,381
811,456,1081,654,523,299,984,523,418
789,478,1053,682,523,291,992,436,418
715,552,1056,682,523,291,992,435,496
651,624,875,863,523,291,992,435,555
742,645,836,900,525,291,992,435,561
733,618,641,995,661,291,992,435,563
594,757,641,927,715,305,984,443,563
607,746,539,1010,724,326,955,472,563
619,743,518,982,776,326,873,515,565
629,724,537,982,775,327,870,446,592
592,643,654,983,679,423,870,412,592
592,638,620,1022,679,423,721,514,624
