Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
1040,946,318,312,1267,1084,527,629,411,567,624
1108,946,151,479,1267,962,502,606,411,567,758
1111,716,380,489,1223,992,627,640,411,565,841
1108,707,352,530,1179,995,705,704,433,521,875
989,826,352,530,1179,987,803,721,441,521,1048
657,1158,352,530,1179,984,832,595,428,522,1354
610,1221,338,544,1179,936,757,502,433,522,1398
580,1252,333,549,1087,834,714,386,433,522,1532
667,1270,333,440,1196,659,707,336,485,538,1532
588,1373,333,434,1202,625,777,314,485,576,1532
546,1403,406,429,1207,565,709,314,486,577,1532
497,1452,409,420,912,840,704,278,517,660,1532
389,1500,509,420,871,881,706,278,517,683,1532
367,1412,615,425,847,810,735,278,532,703,1532
411,1394,592,476,751,899,731,319,538,901,1532
430,1362,624,447,771,907,698,319,578,1050,1527
430,1362,624,446,772,906,704,319,578,1017,1528
434,1306,680,446,767,903,712,319,578,985,1521
448,1296,690,446,767,901,712,307,578,1026,1493
534,1296,690,446,767,901,668,247,522,1079,1489
654,1296,690,446,716,952,746,374,515,1118,1489
683,1296,680,456,659,1009,904,374,513,1127,1489
690,1296,680,379,710,1035,959,354,506,1179,1517
694,1150,826,360,729,1035,1014,380,650,1086,1506
748,1144,832,360,679,1028,1015,387,650,1073,1500
803,1106,856,374,668,963,1015,387,635,1073,1372
803,1106,855,375,590,974,1015,387,608,1050,1371
815,1088,873,375,256,1304,1015,387,562,1072,1332
815,1088,873,375,255,1268,1015,391,545,1080,1318
793,1090,893,318,312,1267,1015,384,545,1102,1241
792,1047,937,318,312,1267,1036,357,545,1026,1213
790,1040,946,318,312,1267,1036,346,530,1016,1279
722,1108,946,151,479,1267,1039,345,528,1017,1151
746,1111,716,380,489,1223,914,311,530,1017,1058
780,1108,707,352,530,1179,836,247,525,1049,1020
991,989,826,352,530,1179,738,230,500,1091,782
994,657,1158,352,530,1179,709,230,516,1091,550
978,610,1221,338,544,1179,697,230,513,1091,564
1049,580,1252,333,549,1087,628,230,513,1091,437
1086,667,1270,333,440,1196,622,224,461,1075,438
1304,588,1373,333,434,1202,591,224,461,1042,438
1243,546,1403,406,429,1207,601,225,460,1082,443
1240,497,1452,409,420,912,707,246,429,1059,445
1200,389,1500,509,420,871,706,258,429,1036,445
1199,367,1412,615,425,847,704,270,479,1021,445
1145,411,1394,592,476,751,801,229,518,817,445
1126,430,1362,624,447,771,914,239,593,650,445
1126,430,1362,624,446,772,930,239,726,549,443
1122,434,1306,680,446,767,1066,240,745,482,443
1108,448,1296,690,446,767,1066,431,746,440,434
1022,534,1296,690,446,767,1066,444,746,387,434
902,654,1296,690,446,716,988,339,666,348,434
873,683,1296,680,456,659,830,427,605,339,434
866,690,1296,680,379,710,775,433,609,279,406
884,694,1150,826,360,729,720,417,526,273,361
830,748,1144,832,360,679,732,446,558,273,342
775,803,1106,856,374,668,732,446,558,293,314
775,803,1106,855,375,590,777,446,555,293,312
763,815,1088,873,375,256,880,446,555,273,312
776,815,1088,873,375,255,999,442,555,292,312
835,793,1090,893,318,312,1016,441,568,271,286
835,792,1047,937,318,312,1042,464,568,271,267
914,790,1040,946,318,312,1206,486,567,314,198
1079,722,1108,946,151,479,1294,515,567,313,324
1071,746,1111,716,380,489,1328,522,565,313,366
1087,780,1108,707,352,530,1412,674,548,281,367
920,991,989,826,352,530,1412,674,553,230,364
917,994,657,1158,352,530,1429,675,543,235,262
917,978,610,1221,338,544,1499,687,544,241,329
846,1049,580,1252,333,549,1523,691,550,266,322
704,1086,667,1270,333,440,1519,762,554,266,321
463,1304,588,1373,333,434,1509,822,560,263,321
513,1243,546,1403,406,429,1499,832,560,228,316
715,1240,497,1452,409,420,1315,817,573,168,317
786,1200,389,1500,509,420,1308,805,594,255,317
812,1199,367,1412,615,425,1281,793,529,251,317
863,1145,411,1394,592,476,1146,793,484,251,317
892,1126,430,1362,624,447,1031,783,369,251,317
1008,1126,430,1362,624,446,1008,783,236,251,317
1018,1122,434,1306,680,446,870,782,217,251,317
1018,1108,448,1296,690,446,920,591,216,251,317
1022,1022,534,1296,690,446,955,573,216,290,317
1055,902,654,1296,690,446,992,591,216,362,317
1231,873,683,1296,680,456,992,516,187,396,317
1254,866,690,1296,680,379,1207,510,190,443,317
1232,884,694,1150,826,360,1211,500,129,447,317
1251,830,748,1144,832,360,1219,634,106,447,317
1251,775,803,1106,856,374,1224,717,106,427,402
1256,775,803,1106,855,375,1179,721,162,427,438
1327,763,815,1088,873,375,1076,768,184,425,438
1358,776,815,1088,873,375,976,805,189,394,440
1299,835,793,1090,893,318,972,875,227,393,440
1306,835,792,1047,937,318,954,958,252,385,471
1233,914,790,1040,946,318,831,950,252,329,469
1068,1079,722,1108,946,151,740,1056,252,329,422
1040,1071,746,1111,716,380,706,1104,252,415,409
989,1087,780,1108,707,352,621,977,252,417,409
945,920,991,989,826,352,621,977,263,453,409
977,917,994,657,1158,352,604,976,265,517,410
1094,917,978,610,1221,338,534,964,318,526,282
1112,846,1049,580,1252,333,510,960,340,512,282
1112,704,1086,667,1270,333,510,889,342,529,282
1158,463,1304,588,1373,333,475,829,336,527,282
1108,513,1243,546,1403,406,475,818,336,523,285
917,715,1240,497,1452,409,475,815,323,523,282
852,786,1200,389,1500,509,475,823,302,436,282
888,812,1199,367,1412,615,475,846,302,435,282
930,863,1145,411,1394,592,475,856,302,435,282
927,892,1126,430,1362,624,475,915,342,435,282
811,1008,1126,430,1362,624,475,922,383,435,282
801,1018,1122,434,1306,680,469,922,383,443,282
803,1018,1108,448,1296,690,419,922,406,472,282
857,1022,1022,534,1296,690,384,922,470,515,282
825,1055,902,654,1296,690,347,877,476,446,282
696,1231,873,683,1296,680,347,906,476,412,283
673,1254,866,690,1296,680,132,906,460,514,284
685,1232,884,694,1150,826,128,906,463,510,284
674,1251,830,748,1144,832,107,736,455,510,284
674,1251,775,803,1106,856,102,653,564,510,202
