Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1
240,482,304,550,235,251,700
240,478,308,550,235,251,609
240,478,308,550,220,266,683
240,433,353,550,150,336,679
225,423,378,550,117,369,719
153,339,534,546,86,404,716
112,345,569,546,86,385,716
106,205,723,428,191,398,716
110,205,723,357,249,411,716
110,205,723,275,331,411,745
73,239,724,78,530,411,772
72,240,719,52,561,411,711
80,240,719,52,561,411,687
61,224,733,73,561,409,708
49,236,733,73,559,411,726
53,234,735,73,537,425,667
160,218,751,73,537,380,666
183,218,751,68,542,337,666
183,218,751,63,547,337,666
172,229,751,63,547,337,666
177,229,691,123,525,295,666
207,229,690,124,524,296,665
207,222,697,124,524,238,665
207,222,697,124,524,238,665
207,222,697,123,525,238,665
207,222,697,117,522,247,623
201,228,692,122,522,247,623
189,240,692,113,531,235,623
189,240,666,121,549,235,623
190,240,663,124,549,235,623
212,240,489,297,550,235,653
329,240,482,304,550,235,757
430,240,478,308,550,235,806
495,240,478,308,550,220,621
495,240,433,353,550,150,520
498,225,423,378,550,117,474
528,153,339,534,546,86,473
531,112,345,569,546,86,473
523,106,205,723,428,191,473
568,110,205,723,357,249,509
641,110,205,723,275,331,449
713,73,239,724,78,530,421
713,72,240,719,52,561,438
705,80,240,719,52,561,470
705,61,224,733,73,561,448
705,49,236,733,73,559,449
840,53,234,735,73,537,472
749,160,218,751,73,537,512
726,183,218,751,68,542,552
726,183,218,751,63,547,599
726,172,229,751,63,547,610
721,177,229,691,123,525,610
691,207,229,690,124,524,645
691,207,222,697,124,524,645
691,207,222,697,124,524,645
691,207,222,697,123,525,646
691,207,222,697,117,522,646
691,201,228,692,122,522,658
691,189,240,692,113,531,689
691,189,240,666,121,549,689
690,190,240,663,124,549,705
668,212,240,489,297,550,649
551,329,240,482,304,550,577
450,430,240,478,308,550,508
385,495,240,478,308,550,506
480,495,240,433,353,550,506
484,498,225,423,378,550,533
464,528,153,339,534,546,533
461,531,112,345,569,546,533
466,523,106,205,723,428,533
