Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
297,316,1365,388,1046,717,1882,651,548,1008,1008,783
296,321,1364,306,1134,689,1565,632,548,1018,870,782
215,351,1415,302,1138,689,1565,625,545,1018,920,591
219,359,1384,332,1108,720,1453,628,477,1022,955,573
219,359,1369,347,1034,722,1379,782,466,1055,992,591
219,339,1359,377,1034,634,1376,820,466,1231,992,516
219,339,1255,480,1035,634,1261,824,462,1254,1207,510
211,337,1248,495,944,727,1249,824,534,1232,1211,500
211,337,1166,577,909,762,1249,804,547,1251,1219,634
211,337,1026,717,909,762,1249,797,571,1251,1224,717
211,337,919,809,924,762,1249,790,600,1256,1179,721
181,367,844,883,888,799,1247,807,622,1327,1076,768
181,342,868,884,888,730,1206,784,648,1358,976,805
102,391,898,882,890,526,1386,816,654,1299,972,875
94,399,896,883,891,525,1387,821,650,1306,954,958
124,388,900,887,893,512,1212,645,650,1233,831,950
154,358,928,889,893,511,858,628,631,1068,740,1056
197,358,928,852,930,507,839,688,629,1040,706,1104
259,358,928,851,915,523,763,697,629,989,621,977
330,358,878,901,848,531,812,736,507,945,621,977
330,355,770,1010,850,518,825,739,439,977,604,976
297,378,708,1092,849,385,959,700,384,1094,534,964
297,378,705,1091,832,406,959,700,388,1112,510,960
297,378,705,1086,820,423,959,725,340,1112,510,889
297,378,476,1314,821,394,988,725,326,1158,475,829
297,378,428,1335,722,519,989,725,258,1108,475,818
297,370,428,1203,754,627,951,725,257,917,475,815
317,370,309,1293,702,708,770,731,250,852,475,823
297,388,311,1287,612,804,718,735,247,888,475,846
292,375,309,1306,559,858,717,735,247,930,475,856
292,312,347,1325,410,1013,717,735,247,927,475,915
287,297,316,1365,388,1046,717,735,290,811,475,922
295,296,321,1364,306,1134,689,735,492,801,469,922
295,215,351,1415,302,1138,689,735,578,803,419,922
283,219,359,1384,332,1108,720,732,578,857,384,922
283,219,359,1369,347,1034,722,552,578,825,347,877
283,219,339,1359,377,1034,634,475,578,696,347,906
283,219,339,1255,480,1035,634,471,578,673,132,906
288,211,337,1248,495,944,727,471,505,685,128,906
314,211,337,1166,577,909,762,471,492,674,107,736
314,211,337,1026,717,909,762,500,448,674,102,653
314,211,337,919,809,924,762,373,471,669,102,682
314,181,367,844,883,888,799,311,451,598,102,635
352,181,342,868,884,888,730,289,479,716,83,598
360,102,391,898,882,890,526,228,473,724,136,528
390,94,399,896,883,891,525,198,473,730,107,520
360,124,388,900,887,893,512,190,473,747,66,517
330,154,358,928,889,893,511,275,473,747,66,382
287,197,358,928,852,930,507,276,473,747,66,327
225,259,358,928,851,915,523,267,473,747,90,302
154,330,358,878,901,848,531,228,475,747,92,317
154,330,355,770,1010,850,518,486,475,715,92,317
144,297,378,708,1092,849,385,507,475,598,198,317
144,297,378,705,1091,832,406,507,476,579,279,427
186,297,378,705,1086,820,423,533,540,579,370,432
186,297,378,476,1314,821,394,533,683,532,370,432
186,297,378,428,1335,722,519,632,721,532,398,432
186,297,370,428,1203,754,627,632,776,521,413,557
179,317,370,309,1293,702,708,626,776,515,433,571
187,297,388,311,1287,612,804,627,935,453,444,548
187,292,375,309,1306,559,858,627,983,360,479,538
187,292,312,347,1325,410,1013,627,983,392,638,876
218,287,297,316,1365,388,1046,693,945,418,724,869
255,295,296,321,1364,306,1134,693,743,423,724,908
364,295,215,351,1415,302,1138,693,662,437,762,959
425,283,219,359,1384,332,1108,693,662,379,902,1144
425,283,219,359,1369,347,1034,693,703,378,903,1191
433,283,219,339,1359,377,1034,693,703,331,903,1160
433,283,219,339,1255,480,1035,693,703,331,903,1173
