Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3
547,337,457,850,809,2307,647
525,295,469,902,820,2337,437
524,296,468,903,800,2432,363
524,238,296,1132,739,2431,232
524,238,280,1042,705,2560,233
525,238,243,1079,665,2721,276
522,247,241,1006,640,2685,283
522,247,239,1008,657,2553,292
531,235,251,947,614,2494,319
549,235,251,766,682,2301,465
549,235,251,764,711,2250,756
550,235,251,726,747,2230,941
550,235,251,692,720,2134,1001
550,235,251,685,711,2158,1011
550,220,266,642,712,2120,1011
550,150,336,642,709,2038,1006
550,117,369,640,709,1975,1010
546,86,404,552,808,1969,1052
546,86,385,569,807,1773,1038
428,191,398,568,823,1348,1022
357,249,411,568,853,1256,985
275,331,411,568,1387,1152,996
78,530,411,568,1509,1126,1000
52,561,411,568,1525,1057,1061
52,561,411,568,1816,1107,1068
73,561,409,494,1921,1153,1076
73,559,411,493,1762,1253,1085
73,537,425,500,1930,1253,1096
73,537,380,414,2053,1185,1126
68,542,337,457,2024,1129,1126
63,547,337,457,1976,951,1126
63,547,337,457,1983,958,1126
123,525,295,469,2023,994,1126
124,524,296,468,2022,994,1126
124,524,238,296,2035,968,1126
124,524,238,280,2035,839,1125
123,525,238,243,2036,695,1087
117,522,247,241,2036,674,1031
122,522,247,239,2008,677,1022
113,531,235,251,1997,681,995
121,549,235,251,1967,681,849
124,549,235,251,1992,681,538
297,550,235,251,1991,626,325
304,550,235,251,2022,586,257
308,550,235,251,2019,531,247
308,550,220,266,2226,531,247
353,550,150,336,2271,531,244
378,550,117,369,2320,531,256
534,546,86,404,2221,531,214
569,546,86,385,2298,507,223
723,428,191,398,2325,501,236
723,357,249,411,2312,501,274
723,275,331,411,1778,528,240
724,78,530,411,1715,513,240
719,52,561,411,1732,532,179
719,52,561,411,1464,482,172
733,73,561,409,1356,423,174
733,73,559,411,1320,320,189
735,73,537,425,1080,351,178
751,73,537,380,874,350,148
751,68,542,337,935,390,148
751,63,547,337,978,441,148
751,63,547,337,963,434,148
691,123,525,295,970,362,148
690,124,524,296,994,266,149
697,124,524,238,981,253,149
697,124,524,238,1003,283,149
697,123,525,238,998,266,143
697,117,522,247,998,266,142
692,122,522,247,979,263,142
692,113,531,235,974,269,142
666,121,549,235,934,298,142
663,124,549,235,878,298,142
489,297,550,235,888,360,142
482,304,550,235,884,366,142
478,308,550,235,1047,383,152
478,308,550,220,952,426,152
433,353,550,150,1012,526,152
423,378,550,117,969,526,136
339,534,546,86,967,582,147
345,569,546,86,890,594,161
205,723,428,191,840,599,155
205,723,357,249,823,620,113
205,723,275,331,854,638,104
239,724,78,530,806,626,107
240,719,52,561,834,601,107
240,719,52,561,834,614,107
224,733,73,561,859,615,97
236,733,73,559,859,613,73
234,735,73,537,918,644,73
218,751,73,537,910,743,104
218,751,68,542,835,734,104
218,751,63,547,792,683,104
229,751,63,547,792,763,167
229,691,123,525,734,785,212
229,690,124,524,711,787,225
222,697,124,524,711,788,225
222,697,124,524,689,786,225
222,697,123,525,689,921,227
222,697,117,522,731,931,227
228,692,122,522,731,996,283
240,692,113,531,731,992,350
240,666,121,549,731,983,355
240,663,124,549,731,983,366
240,489,297,550,724,921,366
240,482,304,550,700,914,366
240,478,308,550,609,897,356
240,478,308,550,683,854,358
240,433,353,550,679,754,358
225,423,378,550,719,754,358
153,339,534,546,716,698,347
112,345,569,546,716,686,317
106,205,723,428,716,681,310
110,205,723,357,716,723,310
110,205,723,275,745,682,310
73,239,724,78,772,679,301
72,240,719,52,711,693,301
80,240,719,52,687,680,301
61,224,733,73,708,679,301
49,236,733,73,726,679,315
53,234,735,73,667,600,319
160,218,751,73,666,499,288
183,218,751,68,666,460,288
183,218,751,63,666,523,288
172,229,751,63,666,453,225
177,229,691,123,666,482,197
207,229,690,124,665,477,276
207,222,697,124,665,534,298
207,222,697,124,665,506,323
207,222,697,123,665,371,321
207,222,697,117,623,361,335
201,228,692,122,623,297,601
189,240,692,113,623,297,910
189,240,666,121,623,329,921
190,240,663,124,623,329,917
212,240,489,297,653,329,917
329,240,482,304,757,329,917
430,240,478,308,806,362,957
495,240,478,308,621,369,955
495,240,433,353,520,464,1044
498,225,423,378,474,577,1046
528,153,339,534,473,583,1046
531,112,345,569,473,698,1041
523,106,205,723,473,718,1041
568,110,205,723,509,655,1041
641,110,205,723,449,672,1130
713,73,239,724,421,674,1193
713,72,240,719,438,660,1256
705,80,240,719,470,660,1256
705,61,224,733,448,660,1294
705,49,236,733,449,660,1280
840,53,234,735,472,660,1276
749,160,218,751,512,794,1365
726,183,218,751,552,825,1391
726,183,218,751,599,926,1391
726,172,229,751,610,938,1391
721,177,229,691,610,898,1374
691,207,229,690,645,900,1281
691,207,222,697,645,840,1259
691,207,222,697,645,840,1234
691,207,222,697,646,859,1293
691,207,222,697,646,864,1282
691,201,228,692,658,863,986
691,189,240,692,689,857,620
691,189,240,666,689,805,638
690,190,240,663,705,805,646
668,212,240,489,649,805,662
551,329,240,482,577,805,669
450,430,240,478,508,772,629
385,495,240,478,506,765,629
480,495,240,433,506,670,540
484,498,225,423,533,557,677
464,528,153,339,533,551,677
461,531,112,345,533,436,677
466,523,106,205,533,416,677
417,568,110,205,497,416,677
344,641,110,205,497,391,588
272,713,73,239,487,388,532
273,713,72,240,470,388,469
286,705,80,240,438,388,469
295,705,61,224,408,388,431
316,705,49,236,389,388,431
