Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2
553,1022,455,1108,791
552,1024,455,1108,829
598,1024,455,1137,796
616,1024,439,1137,936
616,1024,439,1147,944
616,1024,439,1147,929
529,1123,439,1133,867
530,1123,439,1138,854
530,1123,439,941,823
495,1158,439,1098,748
519,1143,454,952,618
444,1203,469,1081,613
275,1372,469,1073,720
228,1419,465,1128,696
227,1309,527,1134,636
225,1241,569,1205,663
247,1272,535,1292,667
356,1114,647,1391,667
502,1096,519,1271,636
505,1069,545,1161,657
505,1039,574,1055,677
504,1034,568,1050,691
527,1027,575,1195,691
527,1025,577,1247,691
520,901,709,1252,693
515,904,711,1231,693
515,821,794,1226,698
515,784,782,1235,700
480,819,778,1142,700
480,819,745,1159,705
479,541,1020,1172,696
465,553,1022,1242,696
535,552,1024,1354,614
494,598,1024,1467,614
512,616,1024,1467,470
551,616,1024,1550,469
611,616,1024,1616,469
631,529,1123,1650,481
631,530,1123,1643,481
713,530,1123,1642,481
796,495,1158,1483,413
788,519,1143,1503,415
801,444,1203,1409,414
812,275,1372,1355,221
856,228,1419,1303,226
898,227,1309,1297,226
898,225,1241,1228,200
844,247,1272,1244,246
715,356,1114,1164,259
562,502,1096,1110,312
559,505,1069,1242,291
559,505,1039,1276,420
559,504,1034,1290,695
536,527,1027,1181,816
536,527,1025,1251,847
535,520,901,1263,850
535,515,904,1249,850
535,515,821,1247,864
535,515,784,1271,980
537,480,819,1272,1141
537,480,819,1240,1136
552,479,541,1227,1132
564,465,553,1157,1132
493,535,552,1046,1139
496,494,598,903,1158
547,512,616,962,1317
508,551,616,918,1478
496,611,616,884,1559
609,631,529,854,1617
763,631,530,869,1620
681,713,530,869,1625
598,796,495,870,1632
582,788,519,946,1633
569,801,444,939,1622
558,812,275,948,1600
514,856,228,1147,1671
472,898,227,1391,1671
472,898,225,1343,1691
472,844,247,1240,1641
472,715,356,1221,1668
472,562,502,1222,1615
472,559,505,1104,1602
472,559,505,1070,1451
472,559,504,1056,1158
472,536,527,1020,1037
472,536,527,898,1006
507,535,520,881,1001
517,535,515,868,1001
517,535,515,871,982
517,535,515,851,865
563,537,480,863,705
586,537,480,868,705
573,552,479,954,719
572,564,465,1036,727
650,493,535,1124,719
701,496,494,1188,691
650,547,512,1172,510
767,508,551,1200,341
777,496,611,1205,260
642,609,631,1197,199
487,763,631,1182,284
487,681,713,1182,293
490,598,796,1181,286
491,582,788,1051,279
491,569,801,1036,295
491,558,812,1092,295
495,514,856,999,219
541,472,898,839,219
546,472,898,907,220
592,472,844,956,248
607,472,715,985,301
870,472,562,987,302
925,472,559,952,389
980,472,559,952,389
1012,472,559,1144,411
1212,472,536,1147,433
1216,472,536,1147,443
1181,507,535,1147,511
1171,517,535,1157,582
1171,517,535,1154,584
1211,517,535,1141,700
1275,563,537,1128,710
1382,586,537,1123,710
1380,573,552,1051,696
1419,572,564,980,688
1435,650,493,924,686
1402,701,496,859,726
1469,650,547,817,754
1491,767,508,744,754
1457,777,496,707,754
1448,642,609,729,844
1448,487,763,769,807
1448,487,681,769,794
1445,490,598,820,934
1444,491,582,897,937
1444,491,569,874,921
1469,491,558,823,921
1479,495,514,753,920
1433,541,472,727,938
1428,546,472,670,916
1382,592,472,668,890
1367,607,472,708,797
1105,870,472,758,793
1050,925,472,780,706
1091,980,472,851,728
1059,1012,472,717,706
859,1212,472,723,684
855,1216,472,794,675
1089,1181,507,819,610
1246,1171,517,815,539
1349,1171,517,923,537
1368,1211,517,1135,420
1260,1275,563,1167,409
1130,1382,586,1219,410
1130,1380,573,1280,485
1080,1419,572,1305,563
986,1435,650,1272,572
960,1402,701,1285,555
857,1469,650,1404,527
718,1491,767,1400,655
694,1457,777,1400,719
693,1448,642,1378,645
693,1448,487,1338,598
693,1448,487,1355,597
693,1445,490,1322,493
693,1444,491,1341,503
693,1444,491,1375,525
668,1469,491,1426,525
654,1479,495,1424,525
654,1433,541,1374,507
654,1428,546,1441,506
654,1382,592,1452,504
654,1367,607,1384,565
653,1105,870,1331,595
653,1050,925,1309,651
585,1091,980,1336,673
646,1059,1012,1330,710
706,859,1212,1334,780
708,855,1216,1263,781
530,1089,1181,1263,778
433,1246,1171,1267,781
330,1349,1171,1161,781
271,1368,1211,952,782
267,1260,1275,920,782
267,1130,1382,868,860
267,1130,1380,1064,785
267,1080,1419,1087,707
295,986,1435,1117,698
328,960,1402,1123,675
393,857,1469,1057,675
405,718,1491,1209,561
430,694,1457,1209,497
465,693,1448,1209,472
466,693,1448,1288,468
498,693,1448,1271,518
750,693,1445,1253,482
809,693,1444,1157,506
818,693,1444,1123,542
818,668,1469,1058,546
818,654,1479,1021,551
818,654,1433,1013,551
818,654,1428,929,551
820,654,1382,871,554
820,654,1367,870,579
833,653,1105,870,550
869,653,1050,881,494
841,585,1091,787,450
780,646,1059,779,438
720,706,859,769,389
827,708,855,785,409
771,530,1089,760,473
711,433,1246,750,470
